chr	start	end	strand	gene_ID	gene_type	gene_short_name
chr3	46289833	46289964	+	ENSMUSG00000077256	snoRNA	Gm26081
chr3	46413402	46414120	+	ENSMUSG00000104511	processed_pseudogene	Gm18843
chr3	46442197	46448219	-	ENSMUSG00000090919	protein_coding	Pabpc4l
chr3	46621121	46621362	+	ENSMUSG00000102589	processed_pseudogene	Gm37445
chr3	46900668	46900782	-	ENSMUSG00000098417	miRNA	Mir6379
chr3	47050382	47051639	-	ENSMUSG00000072387	processed_pseudogene	Gm10356
chr3	47084732	47085734	-	ENSMUSG00000097985	processed_pseudogene	Gm5274
chr3	47200627	47200764	+	ENSMUSG00000088739	snoRNA	Gm23891
chr3	47230538	47231003	-	ENSMUSG00000102220	processed_pseudogene	Rpl23a-ps5
chr3	47263078	47265800	-	ENSMUSG00000103491	TEC	Gm10730
chr3	47459629	47460338	-	ENSMUSG00000103798	processed_pseudogene	Gm2229
chr3	48026013	48026760	-	ENSMUSG00000103257	processed_pseudogene	Gm7977
chr3	48078341	48078449	+	ENSMUSG00000104110	TEC	Gm37295
chr3	48605732	48609102	-	ENSMUSG00000037910	lincRNA	1700018B24Rik
chr3	48748510	48760949	-	ENSMUSG00000102181	lincRNA	Gm37190
chr3	48954722	48954885	+	ENSMUSG00000065018	snRNA	Gm23511
chr3	49062378	49085259	+	ENSMUSG00000102263	lincRNA	Gm31415
chr3	49137463	49138527	+	ENSMUSG00000104186	TEC	Gm37819
chr3	49207714	49208068	-	ENSMUSG00000103027	processed_pseudogene	Gm37684
chr3	49325680	49367359	+	ENSMUSG00000102679	lincRNA	Gm20557
chr3	49381333	49382746	-	ENSMUSG00000104309	processed_pseudogene	Gm5846
chr3	49491351	49491478	+	ENSMUSG00000084517	snoRNA	Gm22480
chr3	49530750	49531310	+	ENSMUSG00000104437	processed_pseudogene	Gm37424
chr3	49603561	49603876	+	ENSMUSG00000102731	processed_pseudogene	Gm38261
chr3	49604227	49604467	+	ENSMUSG00000103249	processed_pseudogene	Gm38088
chr3	49632435	49632969	-	ENSMUSG00000104134	processed_pseudogene	Gm2328
chr3	49643707	49644127	+	ENSMUSG00000103568	processed_pseudogene	Gm29741
chr3	49658763	49658869	+	ENSMUSG00000065381	snRNA	Gm23096
chr3	49743296	49757325	-	ENSMUSG00000037892	protein_coding	Pcdh18
chr3	49780425	49780887	-	ENSMUSG00000102943	processed_pseudogene	Gm37550
chr3	49892526	50443614	-	ENSMUSG00000027737	protein_coding	Slc7a11
chr3	50001972	50010783	+	ENSMUSG00000102892	antisense	Gm37854
chr3	50029669	50029990	+	ENSMUSG00000104457	processed_pseudogene	Gm37826
chr3	50166661	50166892	-	ENSMUSG00000104349	processed_pseudogene	Gm37692
chr3	50254855	50255443	+	ENSMUSG00000102167	processed_pseudogene	Gm2345
chr3	50400282	50404283	-	ENSMUSG00000103907	TEC	Gm37498
chr3	50516399	50607223	-	ENSMUSG00000102715	processed_transcript	Gm6209
chr3	50575186	50576517	-	ENSMUSG00000102895	TEC	5830415G21Rik
chr3	50598069	50598444	-	ENSMUSG00000103745	processed_pseudogene	Gm38237
chr3	50624347	50628411	-	ENSMUSG00000104068	TEC	Gm37199
chr3	50679698	50683401	-	ENSMUSG00000104281	TEC	Gm37461
chr3	50838581	50838715	-	ENSMUSG00000089079	snoRNA	Gm24503
chr3	50883246	50887059	-	ENSMUSG00000103012	TEC	Gm37548
chr3	50918887	50921525	-	ENSMUSG00000102614	TEC	Gm37843
chr3	50977536	50978811	-	ENSMUSG00000103652	TEC	Gm37209
chr3	51058910	51074856	-	ENSMUSG00000102067	lincRNA	Gm29230
chr3	51103660	51105170	+	ENSMUSG00000103464	lincRNA	Gm38246
chr3	51224447	51251644	+	ENSMUSG00000023087	protein_coding	Noct
chr3	51231917	51234380	+	ENSMUSG00000103313	TEC	Gm38357
chr3	51252720	51340663	-	ENSMUSG00000037174	protein_coding	Elf2
chr3	51276759	51278383	+	ENSMUSG00000087440	TEC	4930577N17Rik
chr3	51297179	51297244	+	ENSMUSG00000077420	miRNA	Gm24282
chr3	51302488	51302903	-	ENSMUSG00000104200	TEC	Gm37399
chr3	51370222	51370606	+	ENSMUSG00000103654	processed_pseudogene	Gm37203
chr3	51378024	51386324	+	ENSMUSG00000102544	lincRNA	Gm5103
chr3	51388412	51396738	-	ENSMUSG00000037161	protein_coding	Mgarp
chr3	51402844	51403162	-	ENSMUSG00000104241	processed_pseudogene	Gm9442
chr3	51404677	51408988	-	ENSMUSG00000037152	protein_coding	Ndufc1
chr3	51415148	51476507	+	ENSMUSG00000063273	protein_coding	Naa15
chr3	51423613	51423723	+	ENSMUSG00000103191	TEC	Gm37646
chr3	51482331	51484829	-	ENSMUSG00000102775	TEC	Gm38160
chr3	51483920	51496232	+	ENSMUSG00000027739	protein_coding	Rab33b
chr3	51489620	51492820	+	ENSMUSG00000102570	TEC	Gm37968
chr3	51515319	51560879	-	ENSMUSG00000037111	protein_coding	Setd7
chr3	51557542	51559652	-	ENSMUSG00000102466	TEC	Gm38200
chr3	51560035	51567117	+	ENSMUSG00000097885	processed_transcript	5031434O11Rik
chr3	51571111	51571423	-	ENSMUSG00000104001	processed_pseudogene	Gm38334
chr3	51582306	51582847	+	ENSMUSG00000104075	TEC	5430433H01Rik
chr3	51636496	51636928	-	ENSMUSG00000104166	processed_pseudogene	Gm38247
chr3	51660360	51682677	+	ENSMUSG00000074604	protein_coding	Mgst2
chr3	51672801	51673901	+	ENSMUSG00000103527	TEC	Gm37261
chr3	51685907	52105076	-	ENSMUSG00000061143	protein_coding	Maml3
chr3	51693716	51695090	+	ENSMUSG00000074603	TEC	Gm10729
chr3	51757124	51762088	-	ENSMUSG00000102732	TEC	Gm37342
chr3	51812951	51819309	+	ENSMUSG00000102539	antisense	Gm37229
chr3	51828912	51829028	+	ENSMUSG00000065070	rRNA	n-R5s196
chr3	51829385	51830405	-	ENSMUSG00000103284	TEC	3110080O07Rik
chr3	51867345	51868559	-	ENSMUSG00000103484	TEC	Gm38000
chr3	51872990	51875836	-	ENSMUSG00000102620	TEC	Gm37675
chr3	51884276	51886891	-	ENSMUSG00000102786	TEC	Gm38252
chr3	51906986	51908816	-	ENSMUSG00000103701	TEC	Gm10728
chr3	51980941	51990075	+	ENSMUSG00000104161	antisense	Gm20089
chr3	51987631	51989847	-	ENSMUSG00000102147	TEC	Gm38055
chr3	51991341	51991959	-	ENSMUSG00000103784	TEC	Gm37526
chr3	52000736	52004025	-	ENSMUSG00000102423	TEC	Gm37465
chr3	52057285	52064244	-	ENSMUSG00000104339	TEC	C130089K02Rik
chr3	52071589	52073387	-	ENSMUSG00000102808	TEC	5430420F09Rik
chr3	52134047	52221997	-	ENSMUSG00000103655	lincRNA	Gm37202
chr3	52172162	52179972	-	ENSMUSG00000103726	lincRNA	Gm30074
chr3	52186573	52187957	+	ENSMUSG00000104055	processed_transcript	Gm38132
chr3	52198248	52200489	+	ENSMUSG00000103170	lincRNA	Gm37170
chr3	52236865	52246945	-	ENSMUSG00000102510	unprocessed_pseudogene	Olfr1398-ps1
chr3	52268336	52353221	+	ENSMUSG00000044167	protein_coding	Foxo1
chr3	52268435	52269435	-	ENSMUSG00000092405	antisense	Gm20402
chr3	52282241	52284309	+	ENSMUSG00000102844	TEC	Gm38034
chr3	52425408	52425648	+	ENSMUSG00000103454	processed_pseudogene	Gm38098
chr3	52516964	52550219	+	ENSMUSG00000103965	lincRNA	Gm30173
chr3	52612835	52613836	+	ENSMUSG00000070490	processed_pseudogene	Gm10293
chr3	52722649	52722755	-	ENSMUSG00000065926	snRNA	Gm22798
chr3	52739716	52776656	+	ENSMUSG00000102785	lincRNA	Gm2447
chr3	52789004	52797785	-	ENSMUSG00000104109	lincRNA	Gm30292
chr3	52906756	52927666	-	ENSMUSG00000104401	lincRNA	Gm20750
chr3	52960048	52960366	-	ENSMUSG00000103886	processed_pseudogene	Gm37007
chr3	52981875	53017237	-	ENSMUSG00000027742	protein_coding	Cog6
chr3	53038585	53041755	-	ENSMUSG00000104850	antisense	Gm42901
chr3	53041528	53261679	+	ENSMUSG00000048332	protein_coding	Lhfp
chr3	53072165	53075237	-	ENSMUSG00000104828	TEC	Gm42898
chr3	53083219	53085885	+	ENSMUSG00000104687	TEC	Gm42899
chr3	53099000	53103175	+	ENSMUSG00000104735	TEC	C130075A20Rik
chr3	53109668	53110123	+	ENSMUSG00000104615	TEC	Gm43804
chr3	53110396	53113411	-	ENSMUSG00000104968	antisense	Gm43803
chr3	53112166	53112989	+	ENSMUSG00000105971	TEC	Gm43805
chr3	53346492	53347229	-	ENSMUSG00000106660	processed_pseudogene	Gm43472
chr3	53401731	53402197	-	ENSMUSG00000105397	processed_pseudogene	Gm43471
chr3	53448583	53463332	-	ENSMUSG00000042997	protein_coding	Nhlrc3
chr3	53452619	53457797	+	ENSMUSG00000085174	antisense	Gm16206
chr3	53463666	53481755	+	ENSMUSG00000049504	protein_coding	Proser1
chr3	53488653	53508502	+	ENSMUSG00000027744	protein_coding	Stoml3
chr3	53508928	53510103	+	ENSMUSG00000105481	TEC	6430500D05Rik
chr3	53512002	53512126	+	ENSMUSG00000087936	snoRNA	Gm23675
chr3	53513938	53657355	-	ENSMUSG00000037016	protein_coding	Frem2
chr3	53666863	53667328	-	ENSMUSG00000105840	processed_pseudogene	Gm6073
chr3	53692422	53692878	-	ENSMUSG00000105879	processed_pseudogene	Gm6204
chr3	53725477	53733018	+	ENSMUSG00000105168	lincRNA	Gm43565
chr3	53736225	53737826	+	ENSMUSG00000105444	TEC	Gm10727
chr3	53756731	53772950	+	ENSMUSG00000106270	lincRNA	C820005J03Rik
chr3	53843407	53843509	+	ENSMUSG00000088653	snRNA	Gm24851
chr3	53845086	53845278	+	ENSMUSG00000078742	protein_coding	Gm10985
chr3	53853376	53863830	-	ENSMUSG00000027746	protein_coding	Ufm1
chr3	53924835	53943528	+	ENSMUSG00000106577	lincRNA	Gm31026
chr3	54021164	54021909	+	ENSMUSG00000103155	processed_pseudogene	Gm8109
chr3	54029992	54030399	+	ENSMUSG00000105067	processed_pseudogene	Gm18018
chr3	54156035	54318471	+	ENSMUSG00000027748	protein_coding	Trpc4
chr3	54361109	54391037	+	ENSMUSG00000027750	protein_coding	Postn
chr3	54481438	54482925	+	ENSMUSG00000069014	transcribed_processed_pseudogene	Gm5641
chr3	54631439	54634627	+	ENSMUSG00000097599	lincRNA	Gm26678
chr3	54632881	54634568	-	ENSMUSG00000104831	processed_pseudogene	B020017C02Rik
chr3	54692807	54728766	+	ENSMUSG00000027751	protein_coding	Supt20
chr3	54713176	54714353	-	ENSMUSG00000094487	protein_coding	Gm21958
chr3	54728678	54735393	-	ENSMUSG00000027752	protein_coding	Exosc8
chr3	54735539	54751318	+	ENSMUSG00000036632	protein_coding	Alg5
chr3	54755582	54801257	+	ENSMUSG00000027796	protein_coding	Smad9
chr3	54803115	54807791	-	ENSMUSG00000036615	protein_coding	Rfxap
chr3	54810384	54811250	-	ENSMUSG00000069011	processed_pseudogene	Gm10254
chr3	54897068	54915887	-	ENSMUSG00000056306	protein_coding	Sertm1
chr3	55045469	55055501	-	ENSMUSG00000027793	protein_coding	Ccna1
chr3	55055242	55084002	+	ENSMUSG00000106589	antisense	4931419H13Rik
chr3	55057347	55057656	-	ENSMUSG00000105977	processed_pseudogene	Gm43555
chr3	55112108	55137322	+	ENSMUSG00000036580	protein_coding	Spg20
chr3	55137339	55172935	+	ENSMUSG00000048655	protein_coding	Ccdc169
chr3	55162314	55162434	-	ENSMUSG00000080590	miRNA	Gm22029
chr3	55182028	55209957	+	ENSMUSG00000027794	protein_coding	Sohlh2
chr3	55242364	55539068	+	ENSMUSG00000027797	protein_coding	Dclk1
chr3	55305317	55305423	+	ENSMUSG00000064586	snRNA	Gm25132
chr3	55330841	55332972	+	ENSMUSG00000105302	TEC	Gm19817
chr3	55377457	55403122	-	ENSMUSG00000105975	antisense	Gm42609
chr3	55461985	55472210	-	ENSMUSG00000094962	protein_coding	Gm21954
chr3	55483788	55487180	+	ENSMUSG00000106354	TEC	Gm42607
chr3	55517569	55519586	+	ENSMUSG00000106651	TEC	Gm42608
chr3	55548446	55548552	+	ENSMUSG00000064904	snRNA	Gm25404
chr3	55574921	55577273	+	ENSMUSG00000105627	TEC	Gm43548
chr3	55578105	55582730	-	ENSMUSG00000106334	lincRNA	Gm43549
chr3	55625195	56183701	-	ENSMUSG00000027799	protein_coding	Nbea
chr3	55782510	55785001	+	ENSMUSG00000056947	protein_coding	Mab21l1
chr3	55847105	55848400	+	ENSMUSG00000106572	transcribed_processed_pseudogene	4933417G07Rik
chr3	55890306	55936699	+	ENSMUSG00000104677	antisense	Gm43376
chr3	55956782	55956913	-	ENSMUSG00000077276	snoRNA	Gm22784
chr3	56014918	56017168	-	ENSMUSG00000104938	TEC	Gm42840
chr3	56123156	56126159	-	ENSMUSG00000106211	TEC	Gm42842
chr3	56128596	56130527	-	ENSMUSG00000106528	TEC	Gm42841
chr3	56163954	56167569	-	ENSMUSG00000105293	TEC	Gm42843
chr3	56445282	56445412	-	ENSMUSG00000077710	snoRNA	Gm25727
chr3	56828317	56828787	-	ENSMUSG00000105113	processed_pseudogene	Gm2622
chr3	57054150	57054279	+	ENSMUSG00000077190	snoRNA	Gm22269
chr3	57135496	57136831	-	ENSMUSG00000097366	processed_pseudogene	Gm8177
chr3	57249252	57249504	+	ENSMUSG00000106286	processed_pseudogene	Gm43424
chr3	57271741	57272369	-	ENSMUSG00000104534	processed_pseudogene	Gm18660
chr3	57285611	57301988	-	ENSMUSG00000027800	protein_coding	Tm4sf1
chr3	57362388	57363434	+	ENSMUSG00000105452	processed_pseudogene	Gm5276
chr3	57425314	57441677	+	ENSMUSG00000027801	protein_coding	Tm4sf4
chr3	57455649	57575910	-	ENSMUSG00000027803	protein_coding	Wwtr1
chr3	57528232	57528781	+	ENSMUSG00000083538	processed_pseudogene	Gm16016
chr3	57612697	57625824	-	ENSMUSG00000097339	lincRNA	Gm26671
chr3	57616609	57616722	+	ENSMUSG00000098401	miRNA	Mir6377
chr3	57636883	57640837	-	ENSMUSG00000104965	TEC	Gm43437
chr3	57644349	57651715	-	ENSMUSG00000036513	protein_coding	Commd2
chr3	57654404	57655579	-	ENSMUSG00000105389	TEC	BB187690
chr3	57657393	57692799	-	ENSMUSG00000074591	protein_coding	Ankub1
chr3	57696180	57697476	-	ENSMUSG00000106635	TEC	Gm43098
chr3	57717813	57718289	-	ENSMUSG00000104623	processed_pseudogene	Gm6394
chr3	57736062	57835233	+	ENSMUSG00000036503	protein_coding	Rnf13
chr3	57765864	57766655	-	ENSMUSG00000106421	processed_pseudogene	Gm9645
chr3	57809762	57810257	-	ENSMUSG00000106006	processed_pseudogene	Gm17951
chr3	57841895	57848079	-	ENSMUSG00000027805	protein_coding	Pfn2
chr3	57922088	57922187	-	ENSMUSG00000088570	snRNA	Gm24531
chr3	57942918	57943151	+	ENSMUSG00000104730	processed_pseudogene	Gm42511
chr3	57953655	57958225	-	ENSMUSG00000105003	lincRNA	Gm42512
chr3	57962194	57963372	+	ENSMUSG00000106246	processed_pseudogene	Gm18867
chr3	58079716	58081834	+	ENSMUSG00000105065	TEC	Gm42513
chr3	58102996	58104247	-	ENSMUSG00000069008	processed_pseudogene	Gm5537
chr3	58117053	58167616	+	ENSMUSG00000104586	lincRNA	4921539H07Rik
chr3	58141707	58163807	-	ENSMUSG00000100666	lincRNA	1700007F19Rik
chr3	58290251	58290357	-	ENSMUSG00000065722	snRNA	Gm26166
chr3	58314939	58315310	-	ENSMUSG00000106176	processed_pseudogene	Gm43730
chr3	58404701	58405117	+	ENSMUSG00000105154	processed_pseudogene	Gm20128
chr3	58414715	58466783	+	ENSMUSG00000027806	protein_coding	Tsc22d2
chr3	58519817	58525892	-	ENSMUSG00000027808	protein_coding	Serp1
chr3	58525821	58557501	+	ENSMUSG00000027810	protein_coding	Eif2a
chr3	58526930	58528121	+	ENSMUSG00000106553	TEC	6720482G16Rik
chr3	58576636	58593133	+	ENSMUSG00000075700	protein_coding	Selenot
chr3	58616300	58637207	-	ENSMUSG00000070471	protein_coding	Erich6
chr3	58652053	58653159	+	ENSMUSG00000105021	processed_pseudogene	Gm8234
chr3	58665470	58666566	-	ENSMUSG00000105336	processed_pseudogene	AU022133
chr3	58674938	58692400	-	ENSMUSG00000036432	protein_coding	Siah2
chr3	58692589	58797331	+	ENSMUSG00000097725	lincRNA	4930593A02Rik
chr3	58697561	58698668	+	ENSMUSG00000105226	TEC	A930028O11Rik
chr3	58788407	58812754	-	ENSMUSG00000101860	transcribed_unprocessed_pseudogene	Fam188b2-ps
chr3	58844028	58885340	-	ENSMUSG00000043850	protein_coding	Clrn1
chr3	58975630	58975731	+	ENSMUSG00000087815	snRNA	Gm22491
chr3	58978855	58979026	-	ENSMUSG00000088152	snRNA	Gm25572
chr3	58987170	58987805	+	ENSMUSG00000059776	processed_pseudogene	Rpl13-ps6
chr3	59001620	59001695	+	ENSMUSG00000099052	misc_RNA	Gm27793
chr3	59002471	59006158	-	ENSMUSG00000105945	antisense	Gm43570
chr3	59005825	59318682	+	ENSMUSG00000056476	protein_coding	Med12l
chr3	59096448	59101821	-	ENSMUSG00000050075	protein_coding	Gpr171
chr3	59113855	59153618	-	ENSMUSG00000036381	protein_coding	P2ry14
chr3	59178923	59195104	-	ENSMUSG00000051431	protein_coding	Gpr87
chr3	59207892	59210882	-	ENSMUSG00000036362	protein_coding	P2ry13
chr3	59216272	59262871	-	ENSMUSG00000036353	protein_coding	P2ry12
chr3	59269786	59271308	+	ENSMUSG00000104550	TEC	Gm43589
chr3	59316735	59344394	-	ENSMUSG00000036334	protein_coding	Igsf10
chr3	59344271	59351167	+	ENSMUSG00000103668	antisense	Gm38186
chr3	59424530	59424764	+	ENSMUSG00000102247	unprocessed_pseudogene	Gm37715
chr3	59431537	59433348	+	ENSMUSG00000102550	processed_pseudogene	Gm8276
chr3	59469671	59474095	-	ENSMUSG00000103211	processed_pseudogene	Gm38288
chr3	59483024	59483288	+	ENSMUSG00000104038	unprocessed_pseudogene	Gm37771
chr3	59505581	59535226	-	ENSMUSG00000103598	unprocessed_pseudogene	Gm4856
chr3	59602455	59635733	-	ENSMUSG00000095128	unprocessed_pseudogene	Gm5709
chr3	59662858	59665281	+	ENSMUSG00000102480	TEC	Gm37926
chr3	59729790	59752333	+	ENSMUSG00000090527	protein_coding	Gm5538
chr3	59736746	59736859	-	ENSMUSG00000104471	processed_pseudogene	Gm38208
chr3	59737176	59737317	-	ENSMUSG00000102390	processed_pseudogene	Gm37579
chr3	59767275	59768240	+	ENSMUSG00000103986	processed_pseudogene	Gm5539
chr3	59777809	59846817	+	ENSMUSG00000074589	transcribed_unprocessed_pseudogene	4930449A18Rik
chr3	59783289	59783688	-	ENSMUSG00000102757	processed_pseudogene	Gm2756
chr3	59861051	59877313	+	ENSMUSG00000095522	protein_coding	Gm8298
chr3	59925214	59937949	+	ENSMUSG00000036951	protein_coding	C130079G13Rik
chr3	59952309	59973594	+	ENSMUSG00000070465	transcribed_unprocessed_pseudogene	Gm9696
chr3	60006743	60025420	+	ENSMUSG00000091376	protein_coding	Aadacl2
chr3	60020355	60020869	-	ENSMUSG00000103177	processed_pseudogene	Gm18427
chr3	60025717	60040160	+	ENSMUSG00000027761	protein_coding	Aadac
chr3	60081869	60087566	+	ENSMUSG00000027762	protein_coding	Sucnr1
chr3	60127641	60127747	-	ENSMUSG00000084647	snRNA	Gm24382
chr3	60342358	60343093	-	ENSMUSG00000107270	processed_pseudogene	Tgif1-ps
chr3	60472830	60629750	+	ENSMUSG00000027763	protein_coding	Mbnl1
chr3	60535751	60539744	+	ENSMUSG00000104235	TEC	Gm37589
chr3	60604384	60607757	+	ENSMUSG00000104125	TEC	Gm37488
chr3	60737628	60737785	-	ENSMUSG00000104337	processed_pseudogene	Gm38280
chr3	60769887	60770455	-	ENSMUSG00000102298	processed_pseudogene	Gm33707
chr3	60788361	60794730	+	ENSMUSG00000103587	lincRNA	Gm38326
chr3	60860707	60861085	+	ENSMUSG00000102490	processed_pseudogene	Gm36985
chr3	60877014	60877587	+	ENSMUSG00000027694	transcribed_processed_pseudogene	Gm8325
chr3	61001639	61003786	-	ENSMUSG00000102564	antisense	Gm37035
chr3	61002795	61008982	+	ENSMUSG00000027765	protein_coding	P2ry1
chr3	61291155	61291446	-	ENSMUSG00000102242	processed_pseudogene	Gm37719
chr3	61328699	61329193	-	ENSMUSG00000102667	processed_pseudogene	Gm19901
chr3	61358549	61361897	-	ENSMUSG00000103473	antisense	Gm37696
chr3	61361638	61368430	+	ENSMUSG00000036894	protein_coding	Rap2b
chr3	61362250	61365951	-	ENSMUSG00000053706	protein_coding	B430305J03Rik
chr3	61461859	61462861	-	ENSMUSG00000098208	processed_pseudogene	Gm8349
chr3	62067540	62069794	-	ENSMUSG00000104489	processed_pseudogene	Gm9700
chr3	62123207	62123565	+	ENSMUSG00000103322	TEC	Gm37404
chr3	62337524	62340532	-	ENSMUSG00000103502	antisense	9330121J05Rik
chr3	62338344	62462221	+	ENSMUSG00000036885	protein_coding	Arhgef26
chr3	62468013	62507004	-	ENSMUSG00000027770	protein_coding	Dhx36
chr3	62529077	62605140	-	ENSMUSG00000043441	protein_coding	Gpr149
chr3	62761443	62762024	+	ENSMUSG00000103764	processed_pseudogene	Gm18382
chr3	62923807	62924233	-	ENSMUSG00000063001	processed_pseudogene	Gm9701
chr3	63152217	63152358	+	ENSMUSG00000089175	scaRNA	Gm22433
chr3	63173106	63173861	-	ENSMUSG00000102270	processed_pseudogene	Gm8388
chr3	63241537	63386030	+	ENSMUSG00000027820	protein_coding	Mme
chr3	63439251	63457897	+	ENSMUSG00000104336	lincRNA	Gm34240
chr3	63481112	63483879	-	ENSMUSG00000103476	protein_coding	Gm34302
chr3	63483884	63484369	+	ENSMUSG00000102883	TEC	Gm37279
chr3	63488993	63489098	+	ENSMUSG00000088957	snRNA	Gm24946
chr3	63696234	63899472	-	ENSMUSG00000036834	protein_coding	Plch1
chr3	63770212	63770309	+	ENSMUSG00000088360	snRNA	Gm23500
chr3	63825794	63826444	+	ENSMUSG00000090131	processed_pseudogene	Gm16162
chr3	63843116	63844069	+	ENSMUSG00000085290	processed_pseudogene	Gm16129
chr3	63905429	63905718	+	ENSMUSG00000103905	processed_pseudogene	Gm34379
chr3	63914684	63929472	-	ENSMUSG00000048581	protein_coding	E130311K13Rik
chr3	63933507	63964768	-	ENSMUSG00000027822	protein_coding	Slc33a1
chr3	63963633	63968659	+	ENSMUSG00000097724	antisense	Gm26850
chr3	63976106	64022579	+	ENSMUSG00000027823	protein_coding	Gmps
chr3	64053031	64055610	-	ENSMUSG00000090303	unprocessed_pseudogene	Vmn2r-ps3
chr3	64081642	64105458	+	ENSMUSG00000027824	protein_coding	Vmn2r1
chr3	64109635	64109737	+	ENSMUSG00000089039	snRNA	Gm22165
chr3	64116432	64140543	-	ENSMUSG00000043897	protein_coding	Vmn2r2
chr3	64163390	64163638	+	ENSMUSG00000093447	processed_pseudogene	Gm5139
chr3	64195574	64213677	-	ENSMUSG00000093416	unprocessed_pseudogene	Gm18294
chr3	64258961	64287495	-	ENSMUSG00000091572	protein_coding	Vmn2r3
chr3	64318407	64318564	-	ENSMUSG00000088735	snoRNA	Gm23897
chr3	64328660	64332853	+	ENSMUSG00000093503	unprocessed_pseudogene	Vmn2r-ps4
chr3	64339565	64357724	-	ENSMUSG00000091967	unprocessed_pseudogene	Vmn2r-ps5
chr3	64388621	64415296	-	ENSMUSG00000092049	protein_coding	Vmn2r4
chr3	64436883	64438287	-	ENSMUSG00000093395	unprocessed_pseudogene	Vmn2r-ps6
chr3	64442600	64443975	-	ENSMUSG00000093546	unprocessed_pseudogene	Vmn2r-ps7
chr3	64447967	64460095	+	ENSMUSG00000093671	unprocessed_pseudogene	Gm20656
chr3	64477018	64479319	+	ENSMUSG00000094482	unprocessed_pseudogene	Vmn2r-ps8
chr3	64490821	64509735	-	ENSMUSG00000068999	protein_coding	Vmn2r5
chr3	64537561	64565298	-	ENSMUSG00000090581	protein_coding	Vmn2r6
chr3	64591515	64592896	-	ENSMUSG00000093699	unprocessed_pseudogene	Vmn2r-ps9
chr3	64596913	64605773	+	ENSMUSG00000093484	unprocessed_pseudogene	Gm20657
chr3	64621694	64623995	+	ENSMUSG00000095107	unprocessed_pseudogene	Vmn2r-ps10
chr3	64632574	64662261	-	ENSMUSG00000093434	transcribed_unprocessed_pseudogene	Vmn2r-ps11
chr3	64632863	64844743	-	ENSMUSG00000097538	processed_transcript	Gm26939
chr3	64690660	64844765	-	ENSMUSG00000062200	protein_coding	Vmn2r7
chr3	64744749	64745645	-	ENSMUSG00000093474	unprocessed_pseudogene	Vmn2r-ps12
chr3	64770286	64770518	-	ENSMUSG00000093414	transcribed_unprocessed_pseudogene	Gm20698
chr3	64894471	64894596	-	ENSMUSG00000088824	snoRNA	Gm25222
chr3	64899157	64899762	+	ENSMUSG00000093767	unprocessed_pseudogene	Vmn2r-ps13
chr3	64949223	65223701	+	ENSMUSG00000102437	sense_overlapping	Gm38048
chr3	65109384	65378223	+	ENSMUSG00000027827	protein_coding	Kcnab1
chr3	65133060	65302685	-	ENSMUSG00000104093	antisense	A330015K06Rik
chr3	65324776	65349429	-	ENSMUSG00000090120	antisense	A730090N16Rik
chr3	65379655	65392623	-	ENSMUSG00000027828	protein_coding	Ssr3
chr3	65393337	65395184	+	ENSMUSG00000048916	processed_pseudogene	Gm5540
chr3	65494087	65495035	-	ENSMUSG00000103513	TEC	Gm34780
chr3	65506277	65506637	-	ENSMUSG00000103880	processed_pseudogene	Gm37009
chr3	65507257	65529379	-	ENSMUSG00000074580	transcribed_processed_pseudogene	4931440P22Rik
chr3	65525701	65525793	+	ENSMUSG00000087825	snRNA	Gm22279
chr3	65528410	65555518	+	ENSMUSG00000034640	protein_coding	Tiparp
chr3	65613589	65615183	+	ENSMUSG00000082280	processed_pseudogene	Gm5847
chr3	65615368	65616174	-	ENSMUSG00000103294	processed_pseudogene	Gm38233
chr3	65659288	65659426	+	ENSMUSG00000098944	miRNA	Mir8120
chr3	65666228	65831159	+	ENSMUSG00000074579	protein_coding	Lekr1
chr3	65678386	65680882	+	ENSMUSG00000104037	TEC	Gm37776
chr3	65771511	65771617	-	ENSMUSG00000065330	snRNA	Gm25755
chr3	65829116	65872281	-	ENSMUSG00000103620	antisense	Gm37359
chr3	65863269	65864829	-	ENSMUSG00000103440	TEC	Gm37131
chr3	65933485	65933908	-	ENSMUSG00000102566	processed_pseudogene	Gm37037
chr3	65946151	65958249	-	ENSMUSG00000027829	protein_coding	Ccnl1
chr3	65957758	65962036	+	ENSMUSG00000103041	antisense	Gm37305
chr3	65968902	65969151	-	ENSMUSG00000102914	processed_pseudogene	Gm35106
chr3	65969914	65971922	+	ENSMUSG00000102652	TEC	Gm37078
chr3	65987158	65989753	-	ENSMUSG00000103641	processed_pseudogene	Gm19024
chr3	66029540	66031519	-	ENSMUSG00000103369	processed_pseudogene	Gm6546
chr3	66053558	66296837	-	ENSMUSG00000027831	protein_coding	Veph1
chr3	66086684	66087792	+	ENSMUSG00000104189	TEC	Gm37822
chr3	66088109	66088261	-	ENSMUSG00000064522	snRNA	Gm26442
chr3	66099805	66100063	+	ENSMUSG00000104307	processed_pseudogene	Gm36973
chr3	66128968	66129723	-	ENSMUSG00000097968	processed_pseudogene	Tpi-rs2
chr3	66191093	66191245	-	ENSMUSG00000103208	processed_pseudogene	Gm37330
chr3	66219910	66225805	+	ENSMUSG00000027832	protein_coding	Ptx3
chr3	66562805	66563551	-	ENSMUSG00000103600	processed_pseudogene	Gm17952
chr3	66882350	66883138	+	ENSMUSG00000103700	processed_pseudogene	Gm6555
