mm_xp_gene	xp_gene	mm_gene
mm_xp_gene_2782	Xetrov90013257m	ENSMUSG00000026925
mm_xp_gene_2783	Xetrov90013261m	ENSMUSG00000021948
mm_xp_gene_2784	Xetrov90013280m	ENSMUSG00000026778
mm_xp_gene_2785	Xetrov90013284m	ENSMUSG00000037143
mm_xp_gene_2786	Xetrov90013285m	ENSMUSG00000037143
mm_xp_gene_2787	Xetrov90013293m	ENSMUSG00000026925
mm_xp_gene_2788	Xetrov90013313m	ENSMUSG00000064090
mm_xp_gene_2789	Xetrov90013315m	ENSMUSG00000062006
mm_xp_gene_2790	Xetrov90013394m	ENSMUSG00000026925
mm_xp_gene_2791	Xetrov90013395m	ENSMUSG00000026925
mm_xp_gene_2792	Xetrov90013400m	ENSMUSG00000026925
mm_xp_gene_2793	Xetrov90013401m	ENSMUSG00000026925
mm_xp_gene_2794	Xetrov90013408m	ENSMUSG00000026925
mm_xp_gene_2795	Xetrov90013409m	ENSMUSG00000026925
mm_xp_gene_2796	Xetrov90013440m	ENSMUSG00000028280
mm_xp_gene_2797	Xetrov90013441m	ENSMUSG00000028280
mm_xp_gene_2798	Xetrov90013451m	ENSMUSG00000038774
mm_xp_gene_2799	Xetrov90013456m	ENSMUSG00000096054
mm_xp_gene_2800	Xetrov90013467m	ENSMUSG00000026925
mm_xp_gene_2801	Xetrov90013468m	ENSMUSG00000019828
mm_xp_gene_2802	Xetrov90013473m	ENSMUSG00000026778
mm_xp_gene_2803	Xetrov90013478m	ENSMUSG00000098387
mm_xp_gene_2804	Xetrov90013484m	ENSMUSG00000033808
mm_xp_gene_2805	Xetrov90013518m	ENSMUSG00000046991
mm_xp_gene_2806	Xetrov90013520m	ENSMUSG00000046991
mm_xp_gene_2807	Xetrov90013533m	ENSMUSG00000055067
mm_xp_gene_2808	Xetrov90013561m	ENSMUSG00000089704
mm_xp_gene_2809	Xetrov90013561m	ENSMUSG00000092329
mm_xp_gene_2810	Xetrov90013574m	ENSMUSG00000023827
mm_xp_gene_2811	Xetrov90013575m	ENSMUSG00000024074
mm_xp_gene_2812	Xetrov90013580m	ENSMUSG00000062691
mm_xp_gene_2813	Xetrov90013591m	ENSMUSG00000019989
mm_xp_gene_2814	Xetrov90013603m	ENSMUSG00000039031
mm_xp_gene_2815	Xetrov90013621m	ENSMUSG00000075266
mm_xp_gene_2816	Xetrov90013625m	ENSMUSG00000042895
mm_xp_gene_2817	Xetrov90013665m	ENSMUSG00000033156
mm_xp_gene_2818	Xetrov90013665m	ENSMUSG00000027447
mm_xp_gene_2819	Xetrov90013667m	ENSMUSG00000026925
mm_xp_gene_2820	Xetrov90013685m	ENSMUSG00000050244
mm_xp_gene_2821	Xetrov90013700m	ENSMUSG00000054901
mm_xp_gene_2822	Xetrov90013785m	ENSMUSG00000026925
mm_xp_gene_2823	Xetrov90013799m	ENSMUSG00000051329
mm_xp_gene_2824	Xetrov90013806m	ENSMUSG00000074576
mm_xp_gene_2825	Xetrov90013826m	ENSMUSG00000040836
mm_xp_gene_2826	Xetrov90013833m	ENSMUSG00000094724
mm_xp_gene_2827	Xetrov90013833m	ENSMUSG00000095687
mm_xp_gene_2828	Xetrov90013878m	ENSMUSG00000020003
mm_xp_gene_2829	Xetrov90013894m	ENSMUSG00000019961
mm_xp_gene_2830	Xetrov90013897m	ENSMUSG00000015305
mm_xp_gene_2831	Xetrov90013941m	ENSMUSG00000078453
mm_xp_gene_2832	Xetrov90013955m	ENSMUSG00000019865
mm_xp_gene_2833	Xetrov90013956m	ENSMUSG00000019865
mm_xp_gene_2834	Xetrov90013958m	ENSMUSG00000019865
mm_xp_gene_2835	Xetrov90013980m	ENSMUSG00000032258
mm_xp_gene_2836	Xetrov90013985m	ENSMUSG00000019876
mm_xp_gene_2837	Xetrov90014004m	ENSMUSG00000026925
mm_xp_gene_2838	Xetrov90014010m	ENSMUSG00000019842
mm_xp_gene_2839	Xetrov90014027m	ENSMUSG00000039480
mm_xp_gene_2840	Xetrov90014071m	ENSMUSG00000031986
mm_xp_gene_2841	Xetrov90014084m	ENSMUSG00000019802
mm_xp_gene_2842	Xetrov90014101m	ENSMUSG00000019866
mm_xp_gene_2843	Xetrov90014119m	ENSMUSG00000056073
mm_xp_gene_2844	Xetrov90014120m	ENSMUSG00000056073
mm_xp_gene_2845	Xetrov90014121m	ENSMUSG00000001642
mm_xp_gene_2846	Xetrov90014125m	ENSMUSG00000042380
mm_xp_gene_2847	Xetrov90014128m	ENSMUSG00000032258
mm_xp_gene_2848	Xetrov90014132m	ENSMUSG00000022262
mm_xp_gene_2849	Xetrov90014133m	ENSMUSG00000033826
mm_xp_gene_2850	Xetrov90014168m	ENSMUSG00000046186
mm_xp_gene_2851	Xetrov90014170m	ENSMUSG00000046186
mm_xp_gene_2852	Xetrov90014173m	ENSMUSG00000046186
mm_xp_gene_2853	Xetrov90014196m	ENSMUSG00000035270
mm_xp_gene_2854	Xetrov90014198m	ENSMUSG00000032343
mm_xp_gene_2855	Xetrov90014207m	ENSMUSG00000019961
mm_xp_gene_2856	Xetrov90014219m	ENSMUSG00000028289
mm_xp_gene_2857	Xetrov90014237m	ENSMUSG00000054659
mm_xp_gene_2858	Xetrov90014284m	ENSMUSG00000042197
mm_xp_gene_2859	Xetrov90014285m	ENSMUSG00000042197
mm_xp_gene_2860	Xetrov90014301m	ENSMUSG00000033569
mm_xp_gene_2861	Xetrov90014302m	ENSMUSG00000033569
mm_xp_gene_2862	Xetrov90014305m	ENSMUSG00000026141
mm_xp_gene_2863	Xetrov90014308m	ENSMUSG00000026141
mm_xp_gene_2864	Xetrov90014310m	ENSMUSG00000026147
mm_xp_gene_2865	Xetrov90014332m	ENSMUSG00000046186
mm_xp_gene_2866	Xetrov90014337m	ENSMUSG00000046186
mm_xp_gene_2867	Xetrov90014351m	ENSMUSG00000063887
mm_xp_gene_2868	Xetrov90014420m	ENSMUSG00000031442
mm_xp_gene_2869	Xetrov90014462m	ENSMUSG00000034109
mm_xp_gene_2870	Xetrov90014472m	ENSMUSG00000028333
mm_xp_gene_2871	Xetrov90014481m	ENSMUSG00000026925
mm_xp_gene_2872	Xetrov90014487m	ENSMUSG00000071347
mm_xp_gene_2873	Xetrov90014540m	ENSMUSG00000027762
mm_xp_gene_2874	Xetrov90014591m	ENSMUSG00000053333
mm_xp_gene_2875	Xetrov90014608m	ENSMUSG00000035429
mm_xp_gene_2876	Xetrov90014611m	ENSMUSG00000035429
mm_xp_gene_2877	Xetrov90014612m	ENSMUSG00000035429
mm_xp_gene_2878	Xetrov90014614m	ENSMUSG00000035429
mm_xp_gene_2879	Xetrov90014615m	ENSMUSG00000035429
mm_xp_gene_2880	Xetrov90014616m	ENSMUSG00000035429
mm_xp_gene_2881	Xetrov90014620m	ENSMUSG00000035429
mm_xp_gene_2882	Xetrov90014621m	ENSMUSG00000035429
mm_xp_gene_2883	Xetrov90014623m	ENSMUSG00000079620
mm_xp_gene_2884	Xetrov90014626m	ENSMUSG00000054383
mm_xp_gene_2885	Xetrov90014631m	ENSMUSG00000022797
mm_xp_gene_2886	Xetrov90014654m	ENSMUSG00000032269
mm_xp_gene_2887	Xetrov90014659m	ENSMUSG00000022841
mm_xp_gene_2888	Xetrov90014665m	ENSMUSG00000025983
mm_xp_gene_2889	Xetrov90014701m	ENSMUSG00000060924
mm_xp_gene_2890	Xetrov90014704m	ENSMUSG00000031465
mm_xp_gene_2891	Xetrov90014728m	ENSMUSG00000046204
mm_xp_gene_2892	Xetrov90014730m	ENSMUSG00000032355
mm_xp_gene_2893	Xetrov90014742m	ENSMUSG00000027808
mm_xp_gene_2894	Xetrov90014773m	ENSMUSG00000031129
mm_xp_gene_2895	Xetrov90014827m	ENSMUSG00000035165
mm_xp_gene_2896	Xetrov90014833m	ENSMUSG00000047330
mm_xp_gene_2897	Xetrov90014835m	ENSMUSG00000027176
mm_xp_gene_2898	Xetrov90014863m	ENSMUSG00000034066
mm_xp_gene_2899	Xetrov90014864m	ENSMUSG00000034066
mm_xp_gene_2900	Xetrov90014906m	ENSMUSG00000026288
mm_xp_gene_2901	Xetrov90014909m	ENSMUSG00000056055
mm_xp_gene_2902	Xetrov90014912m	ENSMUSG00000021948
mm_xp_gene_2903	Xetrov90014914m	ENSMUSG00000037503
mm_xp_gene_2904	Xetrov90014929m	ENSMUSG00000034212
mm_xp_gene_2905	Xetrov90014940m	ENSMUSG00000021948
mm_xp_gene_2906	Xetrov90014959m	ENSMUSG00000051306
mm_xp_gene_2907	Xetrov90015021m	ENSMUSG00000050982
mm_xp_gene_2908	Xetrov90015021m	ENSMUSG00000091694
mm_xp_gene_2909	Xetrov90015021m	ENSMUSG00000057346
mm_xp_gene_2910	Xetrov90015021m	ENSMUSG00000068246
mm_xp_gene_2911	Xetrov90015021m	ENSMUSG00000091650
mm_xp_gene_2912	Xetrov90015021m	ENSMUSG00000050014
mm_xp_gene_2913	Xetrov90015035m	ENSMUSG00000035606
mm_xp_gene_2914	Xetrov90015069m	ENSMUSG00000026778
mm_xp_gene_2915	Xetrov90015076m	ENSMUSG00000017049
mm_xp_gene_2916	Xetrov90015082m	ENSMUSG00000036822
mm_xp_gene_2917	Xetrov90015108m	ENSMUSG00000041782
mm_xp_gene_2918	Xetrov90015136m	ENSMUSG00000026818
mm_xp_gene_2919	Xetrov90015163m	ENSMUSG00000096458
mm_xp_gene_2920	Xetrov90015166m	ENSMUSG00000039470
mm_xp_gene_2921	Xetrov90015179m	ENSMUSG00000051235
mm_xp_gene_2922	Xetrov90015187m	ENSMUSG00000096458
mm_xp_gene_2923	Xetrov90015206m	ENSMUSG00000045539
mm_xp_gene_2924	Xetrov90015210m	ENSMUSG00000020627
mm_xp_gene_2925	Xetrov90015232m	ENSMUSG00000042256
mm_xp_gene_2926	Xetrov90015235m	ENSMUSG00000032936
mm_xp_gene_2927	Xetrov90015236m	ENSMUSG00000057899
mm_xp_gene_2928	Xetrov90015245m	ENSMUSG00000039470
mm_xp_gene_2929	Xetrov90015248m	ENSMUSG00000056492
mm_xp_gene_2930	Xetrov90015249m	ENSMUSG00000056492
mm_xp_gene_2931	Xetrov90015250m	ENSMUSG00000056492
mm_xp_gene_2932	Xetrov90015253m	ENSMUSG00000067642
mm_xp_gene_2933	Xetrov90015280m	ENSMUSG00000074682
mm_xp_gene_2934	Xetrov90015323m	ENSMUSG00000025431
mm_xp_gene_2935	Xetrov90015323m	ENSMUSG00000025433
mm_xp_gene_2936	Xetrov90015341m	ENSMUSG00000074682
mm_xp_gene_2937	Xetrov90015369m	ENSMUSG00000022040
mm_xp_gene_2938	Xetrov90015377m	ENSMUSG00000028973
mm_xp_gene_2939	Xetrov90015387m	ENSMUSG00000075592
mm_xp_gene_2940	Xetrov90015469m	ENSMUSG00000061462
mm_xp_gene_2941	Xetrov90015470m	ENSMUSG00000061462
mm_xp_gene_2942	Xetrov90015472m	ENSMUSG00000061462
mm_xp_gene_2943	Xetrov90015477m	ENSMUSG00000034520
mm_xp_gene_2944	Xetrov90015482m	ENSMUSG00000079235
mm_xp_gene_2945	Xetrov90015494m	ENSMUSG00000039208
mm_xp_gene_2946	Xetrov90015498m	ENSMUSG00000074682
mm_xp_gene_2947	Xetrov90015510m	ENSMUSG00000074682
mm_xp_gene_2948	Xetrov90015512m	ENSMUSG00000038357
mm_xp_gene_2949	Xetrov90015514m	ENSMUSG00000038357
mm_xp_gene_2950	Xetrov90015539m	ENSMUSG00000032480
mm_xp_gene_2951	Xetrov90015580m	ENSMUSG00000061576
mm_xp_gene_2952	Xetrov90015583m	ENSMUSG00000002221
mm_xp_gene_2953	Xetrov90015605m	ENSMUSG00000056553
mm_xp_gene_2954	Xetrov90015707m	ENSMUSG00000026748
mm_xp_gene_2955	Xetrov90015723m	ENSMUSG00000048154
mm_xp_gene_2956	Xetrov90015754m	ENSMUSG00000026767
mm_xp_gene_2957	Xetrov90015855m	ENSMUSG00000021338
mm_xp_gene_2958	Xetrov90015868m	ENSMUSG00000041774
mm_xp_gene_2959	Xetrov90015877m	ENSMUSG00000021340
mm_xp_gene_2960	Xetrov90015880m	ENSMUSG00000006711
mm_xp_gene_2961	Xetrov90015926m	ENSMUSG00000042672
mm_xp_gene_2962	Xetrov90015934m	ENSMUSG00000029819
mm_xp_gene_2963	Xetrov90015936m	ENSMUSG00000029176
mm_xp_gene_2964	Xetrov90015937m	ENSMUSG00000029179
mm_xp_gene_2965	Xetrov90015954m	ENSMUSG00000025993
mm_xp_gene_2966	Xetrov90015993m	ENSMUSG00000022240
mm_xp_gene_2967	Xetrov90015995m	ENSMUSG00000033508
mm_xp_gene_2968	Xetrov90016003m	ENSMUSG00000019961
mm_xp_gene_2969	Xetrov90016017m	ENSMUSG00000036123
mm_xp_gene_2970	Xetrov90016020m	ENSMUSG00000096458
mm_xp_gene_2971	Xetrov90016023m	ENSMUSG00000034617
mm_xp_gene_2972	Xetrov90016024m	ENSMUSG00000034617
mm_xp_gene_2973	Xetrov90016060m	ENSMUSG00000036095
mm_xp_gene_2974	Xetrov90016117m	ENSMUSG00000036822
mm_xp_gene_2975	Xetrov90016122m	ENSMUSG00000021420
mm_xp_gene_2976	Xetrov90016159m	ENSMUSG00000038372
mm_xp_gene_2977	Xetrov90016164m	ENSMUSG00000047889
mm_xp_gene_2978	Xetrov90016164m	ENSMUSG00000042842
mm_xp_gene_2979	Xetrov90016164m	ENSMUSG00000052180
mm_xp_gene_2980	Xetrov90016164m	ENSMUSG00000060147
mm_xp_gene_2981	Xetrov90016164m	ENSMUSG00000069248
mm_xp_gene_2982	Xetrov90016175m	ENSMUSG00000057329
mm_xp_gene_2983	Xetrov90016201m	ENSMUSG00000096458
mm_xp_gene_2984	Xetrov90016207m	ENSMUSG00000040420
mm_xp_gene_2985	Xetrov90016239m	ENSMUSG00000019961
mm_xp_gene_2986	Xetrov90016248m	ENSMUSG00000019961
mm_xp_gene_2987	Xetrov90016258m	ENSMUSG00000043872
mm_xp_gene_2988	Xetrov90016282m	ENSMUSG00000039419
mm_xp_gene_2989	Xetrov90016283m	ENSMUSG00000026925
mm_xp_gene_2990	Xetrov90016316m	ENSMUSG00000020422
mm_xp_gene_2991	Xetrov90016332m	ENSMUSG00000020173
mm_xp_gene_2992	Xetrov90016349m	ENSMUSG00000060176
mm_xp_gene_2993	Xetrov90016354m	ENSMUSG00000032536
mm_xp_gene_2994	Xetrov90016384m	ENSMUSG00000043719
mm_xp_gene_2995	Xetrov90016429m	ENSMUSG00000056880
mm_xp_gene_2996	Xetrov90016509m	ENSMUSG00000019961
mm_xp_gene_2997	Xetrov90016531m	ENSMUSG00000034295
mm_xp_gene_2998	Xetrov90016619m	ENSMUSG00000024533
mm_xp_gene_2999	Xetrov90016643m	ENSMUSG00000052105
mm_xp_gene_3000	Xetrov90016658m	ENSMUSG00000006014
mm_xp_gene_3001	Xetrov90016672m	ENSMUSG00000024256
mm_xp_gene_3002	Xetrov90016701m	ENSMUSG00000024421
mm_xp_gene_3003	Xetrov90016715m	ENSMUSG00000024420
mm_xp_gene_3004	Xetrov90016716m	ENSMUSG00000024420
mm_xp_gene_3005	Xetrov90016721m	ENSMUSG00000039059
mm_xp_gene_3006	Xetrov90016726m	ENSMUSG00000039059
mm_xp_gene_3007	Xetrov90016730m	ENSMUSG00000039059
mm_xp_gene_3008	Xetrov90016732m	ENSMUSG00000039059
mm_xp_gene_3009	Xetrov90016733m	ENSMUSG00000039059
mm_xp_gene_3010	Xetrov90016734m	ENSMUSG00000039059
mm_xp_gene_3011	Xetrov90016736m	ENSMUSG00000039059
mm_xp_gene_3012	Xetrov90016737m	ENSMUSG00000039059
mm_xp_gene_3013	Xetrov90016738m	ENSMUSG00000039059
mm_xp_gene_3014	Xetrov90016741m	ENSMUSG00000039059
mm_xp_gene_3015	Xetrov90016748m	ENSMUSG00000044393
mm_xp_gene_3016	Xetrov90016749m	ENSMUSG00000044393
mm_xp_gene_3017	Xetrov90016766m	ENSMUSG00000024306
mm_xp_gene_3018	Xetrov90016787m	ENSMUSG00000025909
mm_xp_gene_3019	Xetrov90016806m	ENSMUSG00000032818
mm_xp_gene_3020	Xetrov90016826m	ENSMUSG00000005198
mm_xp_gene_3021	Xetrov90016837m	ENSMUSG00000028245
mm_xp_gene_3022	Xetrov90016849m	ENSMUSG00000028207
mm_xp_gene_3023	Xetrov90016860m	ENSMUSG00000039519
mm_xp_gene_3024	Xetrov90016870m	ENSMUSG00000049796
mm_xp_gene_3025	Xetrov90016928m	ENSMUSG00000025255
mm_xp_gene_3026	Xetrov90016963m	ENSMUSG00000027534
mm_xp_gene_3027	Xetrov90016965m	ENSMUSG00000027550
mm_xp_gene_3028	Xetrov90016969m	ENSMUSG00000030492
mm_xp_gene_3029	Xetrov90016991m	ENSMUSG00000041697
mm_xp_gene_3030	Xetrov90016992m	ENSMUSG00000027550
mm_xp_gene_3031	Xetrov90017010m	ENSMUSG00000078259
mm_xp_gene_3032	Xetrov90017010m	ENSMUSG00000078260
mm_xp_gene_3033	Xetrov90017010m	ENSMUSG00000089724
mm_xp_gene_3034	Xetrov90017010m	ENSMUSG00000078261
mm_xp_gene_3035	Xetrov90017010m	ENSMUSG00000078668
mm_xp_gene_3036	Xetrov90017010m	ENSMUSG00000075566
mm_xp_gene_3037	Xetrov90017010m	ENSMUSG00000078262
mm_xp_gene_3038	Xetrov90017010m	ENSMUSG00000078258
mm_xp_gene_3039	Xetrov90017083m	ENSMUSG00000045539
mm_xp_gene_3040	Xetrov90017141m	ENSMUSG00000014158
mm_xp_gene_3041	Xetrov90017149m	ENSMUSG00000037343
mm_xp_gene_3042	Xetrov90017159m	ENSMUSG00000024498
mm_xp_gene_3043	Xetrov90017168m	ENSMUSG00000073375
mm_xp_gene_3044	Xetrov90017174m	ENSMUSG00000074682
mm_xp_gene_3045	Xetrov90017182m	ENSMUSG00000053469
mm_xp_gene_3046	Xetrov90017190m	ENSMUSG00000015001
mm_xp_gene_3047	Xetrov90017201m	ENSMUSG00000053536
mm_xp_gene_3048	Xetrov90017206m	ENSMUSG00000000823
mm_xp_gene_3049	Xetrov90017212m	ENSMUSG00000059586
mm_xp_gene_3050	Xetrov90017218m	ENSMUSG00000047921
mm_xp_gene_3051	Xetrov90017236m	ENSMUSG00000044724
mm_xp_gene_3052	Xetrov90017242m	ENSMUSG00000022961
mm_xp_gene_3053	Xetrov90017250m	ENSMUSG00000034730
mm_xp_gene_3054	Xetrov90017251m	ENSMUSG00000069227
mm_xp_gene_3055	Xetrov90017255m	ENSMUSG00000074682
mm_xp_gene_3056	Xetrov90017287m	ENSMUSG00000004187
mm_xp_gene_3057	Xetrov90017304m	ENSMUSG00000096458
mm_xp_gene_3058	Xetrov90017327m	ENSMUSG00000022551
mm_xp_gene_3059	Xetrov90017333m	ENSMUSG00000075033
mm_xp_gene_3060	Xetrov90017335m	ENSMUSG00000075033
mm_xp_gene_3061	Xetrov90017337m	ENSMUSG00000075033
mm_xp_gene_3062	Xetrov90017347m	ENSMUSG00000054843
mm_xp_gene_3063	Xetrov90017350m	ENSMUSG00000072812
mm_xp_gene_3064	Xetrov90017356m	ENSMUSG00000003154
mm_xp_gene_3065	Xetrov90017363m	ENSMUSG00000030327
mm_xp_gene_3066	Xetrov90017392m	ENSMUSG00000023191
mm_xp_gene_3067	Xetrov90017396m	ENSMUSG00000046258
mm_xp_gene_3068	Xetrov90017398m	ENSMUSG00000030120
mm_xp_gene_3069	Xetrov90017417m	ENSMUSG00000053268
mm_xp_gene_3070	Xetrov90017467m	ENSMUSG00000052613
mm_xp_gene_3071	Xetrov90017468m	ENSMUSG00000052613
mm_xp_gene_3072	Xetrov90017479m	ENSMUSG00000037709
mm_xp_gene_3073	Xetrov90017500m	ENSMUSG00000037876
mm_xp_gene_3074	Xetrov90017525m	ENSMUSG00000091680
mm_xp_gene_3075	Xetrov90017597m	ENSMUSG00000041836
mm_xp_gene_3076	Xetrov90017602m	ENSMUSG00000058325
mm_xp_gene_3077	Xetrov90017636m	ENSMUSG00000020057
mm_xp_gene_3078	Xetrov90017645m	ENSMUSG00000026925
mm_xp_gene_3079	Xetrov90017662m	ENSMUSG00000021948
mm_xp_gene_3080	Xetrov90017736m	ENSMUSG00000025019
mm_xp_gene_3081	Xetrov90017740m	ENSMUSG00000021948
mm_xp_gene_3082	Xetrov90017741m	ENSMUSG00000021948
mm_xp_gene_3083	Xetrov90017742m	ENSMUSG00000021948
mm_xp_gene_3084	Xetrov90017762m	ENSMUSG00000042401
mm_xp_gene_3085	Xetrov90017771m	ENSMUSG00000074852
mm_xp_gene_3086	Xetrov90017815m	ENSMUSG00000024798
mm_xp_gene_3087	Xetrov90017868m	ENSMUSG00000021948
mm_xp_gene_3088	Xetrov90017885m	ENSMUSG00000025017
mm_xp_gene_3089	Xetrov90017899m	ENSMUSG00000042213
mm_xp_gene_3090	Xetrov90017937m	ENSMUSG00000037126
mm_xp_gene_3091	Xetrov90017939m	ENSMUSG00000020090
mm_xp_gene_3092	Xetrov90017947m	ENSMUSG00000058297
mm_xp_gene_3093	Xetrov90017956m	ENSMUSG00000019916
mm_xp_gene_3094	Xetrov90017963m	ENSMUSG00000037126
mm_xp_gene_3095	Xetrov90017965m	ENSMUSG00000030177
mm_xp_gene_3096	Xetrov90017978m	ENSMUSG00000043872
mm_xp_gene_3097	Xetrov90017989m	ENSMUSG00000051506
mm_xp_gene_3098	Xetrov90017990m	ENSMUSG00000051506
mm_xp_gene_3099	Xetrov90017991m	ENSMUSG00000051506
mm_xp_gene_3100	Xetrov90018002m	ENSMUSG00000046204
mm_xp_gene_3101	Xetrov90018004m	ENSMUSG00000019961
mm_xp_gene_3102	Xetrov90018010m	ENSMUSG00000096458
mm_xp_gene_3103	Xetrov90018013m	ENSMUSG00000109941
mm_xp_gene_3104	Xetrov90018025m	ENSMUSG00000028960
mm_xp_gene_3105	Xetrov90018058m	ENSMUSG00000012819
mm_xp_gene_3106	Xetrov90018062m	ENSMUSG00000072674
mm_xp_gene_3107	Xetrov90018062m	ENSMUSG00000094800
mm_xp_gene_3108	Xetrov90018062m	ENSMUSG00000095304
mm_xp_gene_3109	Xetrov90018089m	ENSMUSG00000021768
mm_xp_gene_3110	Xetrov90018107m	ENSMUSG00000021795
mm_xp_gene_3111	Xetrov90018131m	ENSMUSG00000096458
mm_xp_gene_3112	Xetrov90018136m	ENSMUSG00000096458
mm_xp_gene_3113	Xetrov90018166m	ENSMUSG00000073043
mm_xp_gene_3114	Xetrov90018181m	ENSMUSG00000096458
mm_xp_gene_3115	Xetrov90018201m	ENSMUSG00000041078
mm_xp_gene_3116	Xetrov90018211m	ENSMUSG00000020101
mm_xp_gene_3117	Xetrov90018212m	ENSMUSG00000012819
mm_xp_gene_3118	Xetrov90018218m	ENSMUSG00000058806
mm_xp_gene_3119	Xetrov90018251m	ENSMUSG00000037126
mm_xp_gene_3120	Xetrov90018283m	ENSMUSG00000040111
mm_xp_gene_3121	Xetrov90018290m	ENSMUSG00000075592
mm_xp_gene_3122	Xetrov90018310m	ENSMUSG00000063458
mm_xp_gene_3123	Xetrov90018348m	ENSMUSG00000024683
mm_xp_gene_3124	Xetrov90018408m	ENSMUSG00000032028
mm_xp_gene_3125	Xetrov90018417m	ENSMUSG00000042138
mm_xp_gene_3126	Xetrov90018420m	ENSMUSG00000022883
mm_xp_gene_3127	Xetrov90018454m	ENSMUSG00000042185
mm_xp_gene_3128	Xetrov90018461m	ENSMUSG00000031996
mm_xp_gene_3129	Xetrov90018478m	ENSMUSG00000028641
mm_xp_gene_3130	Xetrov90018554m	ENSMUSG00000033508
mm_xp_gene_3131	Xetrov90018561m	ENSMUSG00000040219
mm_xp_gene_3132	Xetrov90018627m	ENSMUSG00000039492
mm_xp_gene_3133	Xetrov90018638m	ENSMUSG00000051435
mm_xp_gene_3134	Xetrov90018651m	ENSMUSG00000079620
mm_xp_gene_3135	Xetrov90018721m	ENSMUSG00000028980
mm_xp_gene_3136	Xetrov90018731m	ENSMUSG00000096458
mm_xp_gene_3137	Xetrov90018746m	ENSMUSG00000046204
mm_xp_gene_3138	Xetrov90018779m	ENSMUSG00000091996
mm_xp_gene_3139	Xetrov90018836m	ENSMUSG00000034739
mm_xp_gene_3140	Xetrov90018839m	ENSMUSG00000062300
mm_xp_gene_3141	Xetrov90018878m	ENSMUSG00000096458
mm_xp_gene_3142	Xetrov90018879m	ENSMUSG00000039577
mm_xp_gene_3143	Xetrov90018880m	ENSMUSG00000004591
mm_xp_gene_3144	Xetrov90018894m	ENSMUSG00000048154
mm_xp_gene_3145	Xetrov90018898m	ENSMUSG00000024793
mm_xp_gene_3146	Xetrov90018921m	ENSMUSG00000014592
mm_xp_gene_3147	Xetrov90018992m	ENSMUSG00000015854
mm_xp_gene_3148	Xetrov90019041m	ENSMUSG00000030433
mm_xp_gene_3149	Xetrov90019045m	ENSMUSG00000008845
mm_xp_gene_3150	Xetrov90019068m	ENSMUSG00000069763
mm_xp_gene_3151	Xetrov90019084m	ENSMUSG00000008496
mm_xp_gene_3152	Xetrov90019105m	ENSMUSG00000054169
mm_xp_gene_3153	Xetrov90019105m	ENSMUSG00000054385
mm_xp_gene_3154	Xetrov90019105m	ENSMUSG00000074272
mm_xp_gene_3155	Xetrov90019111m	ENSMUSG00000054169
mm_xp_gene_3156	Xetrov90019111m	ENSMUSG00000054385
mm_xp_gene_3157	Xetrov90019111m	ENSMUSG00000074272
mm_xp_gene_3158	Xetrov90019114m	ENSMUSG00000054169
mm_xp_gene_3159	Xetrov90019114m	ENSMUSG00000054385
mm_xp_gene_3160	Xetrov90019114m	ENSMUSG00000074272
mm_xp_gene_3161	Xetrov90019116m	ENSMUSG00000054169
mm_xp_gene_3162	Xetrov90019116m	ENSMUSG00000054385
mm_xp_gene_3163	Xetrov90019116m	ENSMUSG00000074272
mm_xp_gene_3164	Xetrov90019118m	ENSMUSG00000054169
mm_xp_gene_3165	Xetrov90019118m	ENSMUSG00000054385
mm_xp_gene_3166	Xetrov90019118m	ENSMUSG00000074272
mm_xp_gene_3167	Xetrov90019123m	ENSMUSG00000096458
mm_xp_gene_3168	Xetrov90019132m	ENSMUSG00000096458
mm_xp_gene_3169	Xetrov90019145m	ENSMUSG00000096458
mm_xp_gene_3170	Xetrov90019155m	ENSMUSG00000062300
mm_xp_gene_3171	Xetrov90019184m	ENSMUSG00000038738
mm_xp_gene_3172	Xetrov90019231m	ENSMUSG00000025199
mm_xp_gene_3173	Xetrov90019238m	ENSMUSG00000064158
mm_xp_gene_3174	Xetrov90019262m	ENSMUSG00000038300
mm_xp_gene_3175	Xetrov90019266m	ENSMUSG00000075592
mm_xp_gene_3176	Xetrov90019316m	ENSMUSG00000030659
mm_xp_gene_3177	Xetrov90019340m	ENSMUSG00000026925
mm_xp_gene_3178	Xetrov90019344m	ENSMUSG00000002771
mm_xp_gene_3179	Xetrov90019353m	ENSMUSG00000078816
mm_xp_gene_3180	Xetrov90019372m	ENSMUSG00000074682
mm_xp_gene_3181	Xetrov90019425m	ENSMUSG00000032268
mm_xp_gene_3182	Xetrov90019480m	ENSMUSG00000042190
mm_xp_gene_3183	Xetrov90019493m	ENSMUSG00000042190
mm_xp_gene_3184	Xetrov90019524m	ENSMUSG00000078130
mm_xp_gene_3185	Xetrov90019524m	ENSMUSG00000045109
mm_xp_gene_3186	Xetrov90019573m	ENSMUSG00000030741
mm_xp_gene_3187	Xetrov90019615m	ENSMUSG00000028763
mm_xp_gene_3188	Xetrov90019627m	ENSMUSG00000075592
mm_xp_gene_3189	Xetrov90019644m	ENSMUSG00000001249
mm_xp_gene_3190	Xetrov90019650m	ENSMUSG00000006471
mm_xp_gene_3191	Xetrov90019654m	ENSMUSG00000010122
mm_xp_gene_3192	Xetrov90019665m	ENSMUSG00000026975
