zf_xp_gene	xp_gene	zf_gene
zf_xp_gene_3329	Xetrov90027679m	ENSDARG00000018904
zf_xp_gene_3330	Xetrov90027683m	ENSDARG00000018904
zf_xp_gene_3331	Xetrov90027684m	ENSDARG00000018904
zf_xp_gene_3332	Xetrov90027692m	ENSDARG00000054696
zf_xp_gene_3333	Xetrov90027709m	ENSDARG00000034173
zf_xp_gene_3334	Xetrov90027710m	ENSDARG00000100197
zf_xp_gene_3335	Xetrov90027711m	ENSDARG00000016656
zf_xp_gene_3336	Xetrov90027715m	ENSDARG00000034173
zf_xp_gene_3337	Xetrov90027717m	ENSDARG00000100197
zf_xp_gene_3338	Xetrov90027718m	ENSDARG00000070651
zf_xp_gene_3339	Xetrov90027718m	ENSDARG00000009208
zf_xp_gene_3340	Xetrov90027725m	ENSDARG00000007196
zf_xp_gene_3341	Xetrov90027788m	ENSDARG00000071055
zf_xp_gene_3342	Xetrov90027794m	ENSDARG00000102867
zf_xp_gene_3343	Xetrov90027806m	ENSDARG00000079602
zf_xp_gene_3344	Xetrov90027822m	ENSDARG00000076270
zf_xp_gene_3345	Xetrov90027868m	ENSDARG00000058212
zf_xp_gene_3346	Xetrov90027885m	ENSDARG00000068983
zf_xp_gene_3347	Xetrov90027895m	ENSDARG00000018904
zf_xp_gene_3348	Xetrov90027899m	ENSDARG00000018904
zf_xp_gene_3349	Xetrov90027922m	ENSDARG00000087352
zf_xp_gene_3350	Xetrov90027971m	ENSDARG00000006385
zf_xp_gene_3351	Xetrov90027971m	ENSDARG00000075870
zf_xp_gene_3352	Xetrov90027973m	ENSDARG00000102145
zf_xp_gene_3353	Xetrov90027984m	ENSDARG00000001776
zf_xp_gene_3354	Xetrov90027992m	ENSDARG00000068157
zf_xp_gene_3355	Xetrov90027992m	ENSDARG00000026634
zf_xp_gene_3356	Xetrov90027996m	ENSDARG00000079839
zf_xp_gene_3357	Xetrov90028025m	ENSDARG00000079470
zf_xp_gene_3358	Xetrov90028030m	ENSDARG00000001859
zf_xp_gene_3359	Xetrov90028031m	ENSDARG00000001859
zf_xp_gene_3360	Xetrov90028039m	ENSDARG00000010482
zf_xp_gene_3361	Xetrov90028039m	ENSDARG00000028163
zf_xp_gene_3362	Xetrov90028069m	ENSDARG00000077409
zf_xp_gene_3363	Xetrov90028070m	ENSDARG00000011582
zf_xp_gene_3364	Xetrov90028073m	ENSDARG00000035074
zf_xp_gene_3365	Xetrov90028079m	ENSDARG00000074335
zf_xp_gene_3366	Xetrov90028092m	ENSDARG00000055705
zf_xp_gene_3367	Xetrov90028105m	ENSDARG00000075189
zf_xp_gene_3368	Xetrov90028105m	ENSDARG00000073802
zf_xp_gene_3369	Xetrov90028105m	ENSDARG00000073920
zf_xp_gene_3370	Xetrov90028106m	ENSDARG00000055389
zf_xp_gene_3371	Xetrov90028109m	ENSDARG00000002060
zf_xp_gene_3372	Xetrov90028112m	ENSDARG00000027963
zf_xp_gene_3373	Xetrov90028112m	ENSDARG00000005141
zf_xp_gene_3374	Xetrov90028118m	ENSDARG00000042114
zf_xp_gene_3375	Xetrov90028118m	ENSDARG00000058820
zf_xp_gene_3376	Xetrov90028135m	ENSDARG00000088346
zf_xp_gene_3377	Xetrov90028139m	ENSDARG00000016573
zf_xp_gene_3378	Xetrov90028143m	ENSDARG00000101983
zf_xp_gene_3379	Xetrov90028147m	ENSDARG00000101983
zf_xp_gene_3380	Xetrov90028163m	ENSDARG00000008439
zf_xp_gene_3381	Xetrov90028180m	ENSDARG00000020822
zf_xp_gene_3382	Xetrov90028228m	ENSDARG00000103926
zf_xp_gene_3383	Xetrov90028274m	ENSDARG00000115661
zf_xp_gene_3384	Xetrov90028290m	ENSDARG00000087381
zf_xp_gene_3385	Xetrov90028296m	ENSDARG00000102055
zf_xp_gene_3386	Xetrov90028299m	ENSDARG00000014599
zf_xp_gene_3387	Xetrov90028299m	ENSDARG00000042859
zf_xp_gene_3388	Xetrov90028339m	ENSDARG00000041791
zf_xp_gene_3389	Xetrov90028347m	ENSDARG00000079295
zf_xp_gene_3390	Xetrov90028347m	ENSDARG00000021735
zf_xp_gene_3391	Xetrov90028350m	ENSDARG00000012593
zf_xp_gene_3392	Xetrov90028356m	ENSDARG00000076773
zf_xp_gene_3393	Xetrov90028356m	ENSDARG00000063509
zf_xp_gene_3394	Xetrov90028376m	ENSDARG00000060758
zf_xp_gene_3395	Xetrov90028385m	ENSDARG00000053950
zf_xp_gene_3396	Xetrov90028396m	ENSDARG00000058102
zf_xp_gene_3397	Xetrov90028398m	ENSDARG00000099966
zf_xp_gene_3398	Xetrov90028399m	ENSDARG00000099966
zf_xp_gene_3399	Xetrov90028404m	ENSDARG00000043077
zf_xp_gene_3400	Xetrov90028408m	ENSDARG00000078533
zf_xp_gene_3401	Xetrov90028439m	ENSDARG00000002060
zf_xp_gene_3402	Xetrov90028445m	ENSDARG00000053934
zf_xp_gene_3403	Xetrov90028453m	ENSDARG00000077300
zf_xp_gene_3404	Xetrov90028455m	ENSDARG00000014091
zf_xp_gene_3405	Xetrov90028482m	ENSDARG00000006691
zf_xp_gene_3406	Xetrov90028485m	ENSDARG00000061049
zf_xp_gene_3407	Xetrov90028513m	ENSDARG00000016871
zf_xp_gene_3408	Xetrov90028517m	ENSDARG00000079717
zf_xp_gene_3409	Xetrov90028517m	ENSDARG00000055889
zf_xp_gene_3410	Xetrov90028550m	ENSDARG00000043631
zf_xp_gene_3411	Xetrov90028551m	ENSDARG00000028889
zf_xp_gene_3412	Xetrov90028553m	ENSDARG00000045561
zf_xp_gene_3413	Xetrov90028558m	ENSDARG00000101317
zf_xp_gene_3414	Xetrov90028565m	ENSDARG00000100197
zf_xp_gene_3415	Xetrov90028567m	ENSDARG00000101983
zf_xp_gene_3416	Xetrov90028569m	ENSDARG00000101983
zf_xp_gene_3417	Xetrov90028587m	ENSDARG00000058212
zf_xp_gene_3418	Xetrov90028590m	ENSDARG00000102145
zf_xp_gene_3419	Xetrov90028599m	ENSDARG00000067701
zf_xp_gene_3420	Xetrov90028609m	ENSDARG00000062864
zf_xp_gene_3421	Xetrov90028690m	ENSDARG00000092488
zf_xp_gene_3422	Xetrov90028698m	ENSDARG00000006219
zf_xp_gene_3423	Xetrov90028724m	ENSDARG00000102145
zf_xp_gene_3424	Xetrov90028725m	ENSDARG00000055825
zf_xp_gene_3425	Xetrov90028729m	ENSDARG00000055825
zf_xp_gene_3426	Xetrov90028731m	ENSDARG00000101983
zf_xp_gene_3427	Xetrov90028732m	ENSDARG00000101983
zf_xp_gene_3428	Xetrov90028744m	ENSDARG00000101983
zf_xp_gene_3429	Xetrov90028751m	ENSDARG00000044852
zf_xp_gene_3430	Xetrov90028759m	ENSDARG00000016551
zf_xp_gene_3431	Xetrov90028761m	ENSDARG00000088630
zf_xp_gene_3432	Xetrov90028761m	ENSDARG00000074244
zf_xp_gene_3433	Xetrov90028767m	ENSDARG00000104567
zf_xp_gene_3434	Xetrov90028771m	ENSDARG00000102145
zf_xp_gene_3435	Xetrov90028790m	ENSDARG00000071558
zf_xp_gene_3436	Xetrov90028792m	ENSDARG00000018006
zf_xp_gene_3437	Xetrov90028806m	ENSDARG00000101983
zf_xp_gene_3438	Xetrov90028807m	ENSDARG00000101983
zf_xp_gene_3439	Xetrov90028809m	ENSDARG00000075323
zf_xp_gene_3440	Xetrov90028810m	ENSDARG00000075323
zf_xp_gene_3441	Xetrov90028811m	ENSDARG00000075323
zf_xp_gene_3442	Xetrov90028812m	ENSDARG00000075323
zf_xp_gene_3443	Xetrov90028813m	ENSDARG00000058212
zf_xp_gene_3444	Xetrov90028819m	ENSDARG00000045268
zf_xp_gene_3445	Xetrov90028840m	ENSDARG00000102145
zf_xp_gene_3446	Xetrov90028858m	ENSDARG00000089920
zf_xp_gene_3447	Xetrov90028875m	ENSDARG00000013763
zf_xp_gene_3448	Xetrov90028875m	ENSDARG00000041703
zf_xp_gene_3449	Xetrov90028889m	ENSDARG00000102145
zf_xp_gene_3450	Xetrov90028910m	ENSDARG00000090512
zf_xp_gene_3451	Xetrov90028910m	ENSDARG00000060729
zf_xp_gene_3452	Xetrov90028918m	ENSDARG00000062457
zf_xp_gene_3453	Xetrov90028927m	ENSDARG00000059705
zf_xp_gene_3454	Xetrov90028946m	ENSDARG00000021242
zf_xp_gene_3455	Xetrov90028952m	ENSDARG00000013763
zf_xp_gene_3456	Xetrov90028952m	ENSDARG00000041703
zf_xp_gene_3457	Xetrov90028955m	ENSDARG00000070019
zf_xp_gene_3458	Xetrov90028976m	ENSDARG00000011909
zf_xp_gene_3459	Xetrov90028990m	ENSDARG00000061690
zf_xp_gene_3460	Xetrov90028998m	ENSDARG00000079712
zf_xp_gene_3461	Xetrov90028999m	ENSDARG00000079712
zf_xp_gene_3462	Xetrov90029011m	ENSDARG00000027963
zf_xp_gene_3463	Xetrov90029011m	ENSDARG00000005141
zf_xp_gene_3464	Xetrov90029021m	ENSDARG00000058212
zf_xp_gene_3465	Xetrov90029075m	ENSDARG00000058212
zf_xp_gene_3466	Xetrov90029114m	ENSDARG00000102145
zf_xp_gene_3467	Xetrov90029181m	ENSDARG00000054609
zf_xp_gene_3468	Xetrov90029185m	ENSDARG00000037186
zf_xp_gene_3469	Xetrov90029205m	ENSDARG00000087937
zf_xp_gene_3470	Xetrov90029208m	ENSDARG00000043241
zf_xp_gene_3471	Xetrov90029213m	ENSDARG00000055389
zf_xp_gene_3472	Xetrov90029214m	ENSDARG00000105322
zf_xp_gene_3473	Xetrov90029225m	ENSDARG00000039987
zf_xp_gene_3474	Xetrov90029227m	ENSDARG00000090396
zf_xp_gene_3475	Xetrov90029271m	ENSDARG00000041811
zf_xp_gene_3476	Xetrov90029279m	ENSDARG00000018691
zf_xp_gene_3477	Xetrov90029281m	ENSDARG00000031346
zf_xp_gene_3478	Xetrov90029291m	ENSDARG00000060646
zf_xp_gene_3479	Xetrov90029291m	ENSDARG00000056741
zf_xp_gene_3480	Xetrov90029291m	ENSDARG00000095538
zf_xp_gene_3481	Xetrov90029298m	ENSDARG00000011360
zf_xp_gene_3482	Xetrov90029306m	ENSDARG00000106529
zf_xp_gene_3483	Xetrov90029361m	ENSDARG00000007971
zf_xp_gene_3484	Xetrov90029364m	ENSDARG00000007315
zf_xp_gene_3485	Xetrov90029364m	ENSDARG00000022978
zf_xp_gene_3486	Xetrov90029381m	ENSDARG00000036773
zf_xp_gene_3487	Xetrov90029381m	ENSDARG00000037425
zf_xp_gene_3488	Xetrov90029381m	ENSDARG00000055589
zf_xp_gene_3489	Xetrov90029403m	ENSDARG00000076005
zf_xp_gene_3490	Xetrov90029404m	ENSDARG00000076005
zf_xp_gene_3491	Xetrov90029407m	ENSDARG00000011925
zf_xp_gene_3492	Xetrov90029418m	ENSDARG00000076861
zf_xp_gene_3493	Xetrov90029418m	ENSDARG00000071250
zf_xp_gene_3494	Xetrov90029425m	ENSDARG00000006422
zf_xp_gene_3495	Xetrov90029433m	ENSDARG00000109342
zf_xp_gene_3496	Xetrov90029473m	ENSDARG00000114678
zf_xp_gene_3497	Xetrov90029473m	ENSDARG00000041828
zf_xp_gene_3498	Xetrov90029473m	ENSDARG00000020812
zf_xp_gene_3499	Xetrov90029473m	ENSDARG00000090038
zf_xp_gene_3500	Xetrov90029473m	ENSDARG00000077337
zf_xp_gene_3501	Xetrov90029473m	ENSDARG00000090277
zf_xp_gene_3502	Xetrov90029579m	ENSDARG00000092488
zf_xp_gene_3503	Xetrov90029596m	ENSDARG00000104709
zf_xp_gene_3504	Xetrov90029597m	ENSDARG00000104173
zf_xp_gene_3505	Xetrov90029602m	ENSDARG00000069045
zf_xp_gene_3506	Xetrov90029603m	ENSDARG00000069045
zf_xp_gene_3507	Xetrov90029604m	ENSDARG00000069045
zf_xp_gene_3508	Xetrov90029605m	ENSDARG00000069045
zf_xp_gene_3509	Xetrov90029608m	ENSDARG00000091512
zf_xp_gene_3510	Xetrov90029660m	ENSDARG00000101983
zf_xp_gene_3511	Xetrov90029695m	ENSDARG00000056619
zf_xp_gene_3512	Xetrov90029698m	ENSDARG00000056619
zf_xp_gene_3513	Xetrov90029700m	ENSDARG00000056619
zf_xp_gene_3514	Xetrov90029702m	ENSDARG00000056619
zf_xp_gene_3515	Xetrov90029710m	ENSDARG00000032117
zf_xp_gene_3516	Xetrov90029713m	ENSDARG00000090469
zf_xp_gene_3517	Xetrov90029713m	ENSDARG00000103687
zf_xp_gene_3518	Xetrov90029715m	ENSDARG00000018904
zf_xp_gene_3519	Xetrov90029717m	ENSDARG00000018904
zf_xp_gene_3520	Xetrov90029733m	ENSDARG00000024381
zf_xp_gene_3521	Xetrov90029739m	ENSDARG00000043388
zf_xp_gene_3522	Xetrov90029741m	ENSDARG00000010482
zf_xp_gene_3523	Xetrov90029741m	ENSDARG00000028163
zf_xp_gene_3524	Xetrov90029753m	ENSDARG00000018765
zf_xp_gene_3525	Xetrov90029753m	ENSDARG00000036542
zf_xp_gene_3526	Xetrov90029757m	ENSDARG00000060280
zf_xp_gene_3527	Xetrov90029789m	ENSDARG00000056781
zf_xp_gene_3528	Xetrov90029794m	ENSDARG00000067918
zf_xp_gene_3529	Xetrov90029803m	ENSDARG00000019457
zf_xp_gene_3530	Xetrov90029803m	ENSDARG00000098903
zf_xp_gene_3531	Xetrov90029816m	ENSDARG00000104801
zf_xp_gene_3532	Xetrov90029820m	ENSDARG00000043094
zf_xp_gene_3533	Xetrov90029829m	ENSDARG00000045561
zf_xp_gene_3534	Xetrov90029868m	ENSDARG00000029822
zf_xp_gene_3535	Xetrov90029868m	ENSDARG00000017490
zf_xp_gene_3536	Xetrov90029881m	ENSDARG00000056781
zf_xp_gene_3537	Xetrov90029893m	ENSDARG00000007315
zf_xp_gene_3538	Xetrov90029893m	ENSDARG00000022978
zf_xp_gene_3539	Xetrov90029916m	ENSDARG00000034173
zf_xp_gene_3540	Xetrov90029917m	ENSDARG00000043243
zf_xp_gene_3541	Xetrov90029917m	ENSDARG00000018382
zf_xp_gene_3542	Xetrov90029955m	ENSDARG00000023950
zf_xp_gene_3543	Xetrov90029957m	ENSDARG00000104567
zf_xp_gene_3544	Xetrov90029961m	ENSDARG00000014239
zf_xp_gene_3545	Xetrov90029961m	ENSDARG00000034714
zf_xp_gene_3546	Xetrov90029981m	ENSDARG00000094741
zf_xp_gene_3547	Xetrov90029981m	ENSDARG00000092133
zf_xp_gene_3548	Xetrov90029981m	ENSDARG00000094403
zf_xp_gene_3549	Xetrov90029989m	ENSDARG00000077653
zf_xp_gene_3550	Xetrov90030026m	ENSDARG00000104567
zf_xp_gene_3551	Xetrov90030028m	ENSDARG00000062190
zf_xp_gene_3552	Xetrov90030048m	ENSDARG00000037410
zf_xp_gene_3553	Xetrov90030065m	ENSDARG00000059461
zf_xp_gene_3554	Xetrov90030087m	ENSDARG00000006169
zf_xp_gene_3555	Xetrov90030149m	ENSDARG00000070981
zf_xp_gene_3556	Xetrov90030184m	ENSDARG00000023900
zf_xp_gene_3557	Xetrov90030185m	ENSDARG00000012138
zf_xp_gene_3558	Xetrov90030195m	ENSDARG00000036092
zf_xp_gene_3559	Xetrov90030206m	ENSDARG00000042608
zf_xp_gene_3560	Xetrov90030264m	ENSDARG00000103004
zf_xp_gene_3561	Xetrov90030264m	ENSDARG00000016630
zf_xp_gene_3562	Xetrov90030267m	ENSDARG00000103926
zf_xp_gene_3563	Xetrov90030373m	ENSDARG00000040666
zf_xp_gene_3564	Xetrov90030386m	ENSDARG00000098826
zf_xp_gene_3565	Xetrov90030391m	ENSDARG00000087190
zf_xp_gene_3566	Xetrov90030394m	ENSDARG00000058159
zf_xp_gene_3567	Xetrov90030398m	ENSDARG00000036728
zf_xp_gene_3568	Xetrov90030408m	ENSDARG00000021107
zf_xp_gene_3569	Xetrov90030414m	ENSDARG00000068868
zf_xp_gene_3570	Xetrov90030420m	ENSDARG00000101259
zf_xp_gene_3571	Xetrov90030431m	ENSDARG00000093684
zf_xp_gene_3572	Xetrov90030457m	ENSDARG00000001241
zf_xp_gene_3573	Xetrov90030457m	ENSDARG00000032175
zf_xp_gene_3574	Xetrov90030464m	ENSDARG00000078533
zf_xp_gene_3575	Xetrov90030493m	ENSDARG00000104023
zf_xp_gene_3576	Xetrov90030494m	ENSDARG00000104023
zf_xp_gene_3577	Xetrov90030508m	ENSDARG00000034173
zf_xp_gene_3578	Xetrov90030509m	ENSDARG00000077409
zf_xp_gene_3579	Xetrov90030512m	ENSDARG00000027963
zf_xp_gene_3580	Xetrov90030512m	ENSDARG00000005141
zf_xp_gene_3581	Xetrov90030523m	ENSDARG00000103834
zf_xp_gene_3582	Xetrov90030523m	ENSDARG00000012723
zf_xp_gene_3583	Xetrov90030553m	ENSDARG00000018904
zf_xp_gene_3584	Xetrov90030572m	ENSDARG00000076590
zf_xp_gene_3585	Xetrov90030611m	ENSDARG00000092488
zf_xp_gene_3586	Xetrov90030619m	ENSDARG00000074634
zf_xp_gene_3587	Xetrov90030630m	ENSDARG00000039486
zf_xp_gene_3588	Xetrov90030647m	ENSDARG00000019339
zf_xp_gene_3589	Xetrov90030649m	ENSDARG00000102145
zf_xp_gene_3590	Xetrov90030659m	ENSDARG00000019791
zf_xp_gene_3591	Xetrov90030663m	ENSDARG00000103926
zf_xp_gene_3592	Xetrov90030664m	ENSDARG00000077881
zf_xp_gene_3593	Xetrov90030696m	ENSDARG00000094590
zf_xp_gene_3594	Xetrov90030720m	ENSDARG00000040959
zf_xp_gene_3595	Xetrov90030729m	ENSDARG00000102145
zf_xp_gene_3596	Xetrov90030730m	ENSDARG00000099461
zf_xp_gene_3597	Xetrov90030747m	ENSDARG00000103203
zf_xp_gene_3598	Xetrov90030765m	ENSDARG00000056781
zf_xp_gene_3599	Xetrov90030786m	ENSDARG00000100157
zf_xp_gene_3600	Xetrov90030790m	ENSDARG00000099485
zf_xp_gene_3601	Xetrov90030798m	ENSDARG00000098742
zf_xp_gene_3602	Xetrov90030824m	ENSDARG00000029822
zf_xp_gene_3603	Xetrov90030824m	ENSDARG00000017490
zf_xp_gene_3604	Xetrov90030825m	ENSDARG00000093799
zf_xp_gene_3605	Xetrov90030832m	ENSDARG00000062084
zf_xp_gene_3606	Xetrov90030832m	ENSDARG00000012269
zf_xp_gene_3607	Xetrov90030833m	ENSDARG00000034982
zf_xp_gene_3608	Xetrov90030839m	ENSDARG00000074521
zf_xp_gene_3609	Xetrov90030839m	ENSDARG00000074073
zf_xp_gene_3610	Xetrov90030858m	ENSDARG00000109342
zf_xp_gene_3611	Xetrov90030863m	ENSDARG00000022996
zf_xp_gene_3612	Xetrov90030865m	ENSDARG00000068370
zf_xp_gene_3613	Xetrov90030872m	ENSDARG00000054458
zf_xp_gene_3614	Xetrov90030877m	ENSDARG00000109342
zf_xp_gene_3615	Xetrov90030878m	ENSDARG00000018904
zf_xp_gene_3616	Xetrov90030889m	ENSDARG00000102145
zf_xp_gene_3617	Xetrov90030892m	ENSDARG00000070961
zf_xp_gene_3618	Xetrov90030916m	ENSDARG00000092488
zf_xp_gene_3619	Xetrov90030929m	ENSDARG00000016656
zf_xp_gene_3620	Xetrov90030935m	ENSDARG00000077002
zf_xp_gene_3621	Xetrov90030937m	ENSDARG00000104567
zf_xp_gene_3622	Xetrov90030945m	ENSDARG00000056084
zf_xp_gene_3623	Xetrov90030945m	ENSDARG00000031049
zf_xp_gene_3624	Xetrov90030953m	ENSDARG00000031930
zf_xp_gene_3625	Xetrov90030953m	ENSDARG00000009941
zf_xp_gene_3626	Xetrov90030956m	ENSDARG00000078992
zf_xp_gene_3627	Xetrov90030956m	ENSDARG00000039392
zf_xp_gene_3628	Xetrov90030974m	ENSDARG00000061685
zf_xp_gene_3629	Xetrov90030974m	ENSDARG00000074419
zf_xp_gene_3630	a1cf-like	ENSDARG00000002968
zf_xp_gene_3631	aaas	ENSDARG00000102274
zf_xp_gene_3632	aacs	ENSDARG00000012468
zf_xp_gene_3633	aadacl4	ENSDARG00000093687
zf_xp_gene_3634	aadat	ENSDARG00000011410
zf_xp_gene_3635	aagab-like	ENSDARG00000041170
zf_xp_gene_3636	aak1	ENSDARG00000011855
zf_xp_gene_3637	aak1	ENSDARG00000077686
zf_xp_gene_3638	aamdc	ENSDARG00000103957
zf_xp_gene_3639	aamp	ENSDARG00000045019
zf_xp_gene_3640	aasdhppt	ENSDARG00000037501
zf_xp_gene_3641	aass	ENSDARG00000051816
zf_xp_gene_3642	aatf	ENSDARG00000025467
zf_xp_gene_3643	abca2	ENSDARG00000013500
zf_xp_gene_3644	abca3-like	ENSDARG00000100524
zf_xp_gene_3645	abca4	ENSDARG00000062661
zf_xp_gene_3646	abca4	ENSDARG00000057169
zf_xp_gene_3647	abca8	ENSDARG00000074041
zf_xp_gene_3648	abcb11	ENSDARG00000070078
zf_xp_gene_3649	abcb6	ENSDARG00000063297
zf_xp_gene_3650	abcb6	ENSDARG00000074254
zf_xp_gene_3651	abcb7	ENSDARG00000062795
zf_xp_gene_3652	abcb9	ENSDARG00000056200
zf_xp_gene_3653	abcc4	ENSDARG00000058953
zf_xp_gene_3654	abcd1	ENSDARG00000074876
zf_xp_gene_3655	abcd2-like	ENSDARG00000059409
zf_xp_gene_3656	abcd3	ENSDARG00000104085
zf_xp_gene_3657	abcd3	ENSDARG00000002947
zf_xp_gene_3658	abcd4-like	ENSDARG00000061770
zf_xp_gene_3659	abce1	ENSDARG00000007216
zf_xp_gene_3660	abcf1-like	ENSDARG00000031795
zf_xp_gene_3661	abcg2	ENSDARG00000079361
zf_xp_gene_3662	abcg4-like	ENSDARG00000061047
zf_xp_gene_3663	abcg4-like	ENSDARG00000078068
zf_xp_gene_3664	abcg5	ENSDARG00000063078
zf_xp_gene_3665	abcg8	ENSDARG00000063059
zf_xp_gene_3666	abhd10	ENSDARG00000006797
zf_xp_gene_3667	abhd11	ENSDARG00000069501
zf_xp_gene_3668	abhd12	ENSDARG00000071004
zf_xp_gene_3669	abhd13	ENSDARG00000059209
zf_xp_gene_3670	abhd14a	ENSDARG00000058367
zf_xp_gene_3671	abhd17b	ENSDARG00000035571
zf_xp_gene_3672	abhd2	ENSDARG00000025797
zf_xp_gene_3673	abhd2	ENSDARG00000045804
zf_xp_gene_3674	abhd3	ENSDARG00000018809
zf_xp_gene_3675	abhd4	ENSDARG00000102887
zf_xp_gene_3676	abhd8	ENSDARG00000076620
zf_xp_gene_3677	abhd8	ENSDARG00000103518
zf_xp_gene_3678	abi1	ENSDARG00000062991
zf_xp_gene_3679	abi1	ENSDARG00000010155
zf_xp_gene_3680	abi2	ENSDARG00000058207
zf_xp_gene_3681	abi2	ENSDARG00000014875
zf_xp_gene_3682	abl1-like	ENSDARG00000035187
zf_xp_gene_3683	abl2	ENSDARG00000013841
zf_xp_gene_3684	ablim3	ENSDARG00000088168
zf_xp_gene_3685	abr	ENSDARG00000059587
zf_xp_gene_3686	abr	ENSDARG00000095180
zf_xp_gene_3687	abra	ENSDARG00000033854
zf_xp_gene_3688	abtb1	ENSDARG00000063354
zf_xp_gene_3689	abtb2-like.1	ENSDARG00000062000
zf_xp_gene_3690	abtb2-like.2	ENSDARG00000062000
zf_xp_gene_3691	acaa1	ENSDARG00000004687
zf_xp_gene_3692	acaa2	ENSDARG00000038881
zf_xp_gene_3693	acacb	ENSDARG00000061994
zf_xp_gene_3694	acad11	ENSDARG00000045411
zf_xp_gene_3695	acad8	ENSDARG00000042658
zf_xp_gene_3696	acadl	ENSDARG00000088357
zf_xp_gene_3697	acadm	ENSDARG00000038900
zf_xp_gene_3698	acads	ENSDARG00000030781
zf_xp_gene_3699	acadvl	ENSDARG00000016687
zf_xp_gene_3700	acan	ENSDARG00000035891
zf_xp_gene_3701	acan	ENSDARG00000045799
zf_xp_gene_3702	acap2-like	ENSDARG00000056478
zf_xp_gene_3703	acap2-like	ENSDARG00000060783
zf_xp_gene_3704	acap3	ENSDARG00000075990
zf_xp_gene_3705	acap3	ENSDARG00000099240
zf_xp_gene_3706	acat1	ENSDARG00000045888
zf_xp_gene_3707	acbd3	ENSDARG00000024602
zf_xp_gene_3708	acbd3	ENSDARG00000042623
zf_xp_gene_3709	acbd5	ENSDARG00000034883
zf_xp_gene_3710	acbd6	ENSDARG00000039456
zf_xp_gene_3711	acbd7	ENSDARG00000094730
zf_xp_gene_3712	accs	ENSDARG00000052124
zf_xp_gene_3713	acer1	ENSDARG00000010347
zf_xp_gene_3714	acer2	ENSDARG00000077782
zf_xp_gene_3715	acer3	ENSDARG00000093366
zf_xp_gene_3716	ache	ENSDARG00000031796
zf_xp_gene_3717	acmsd-like	ENSDARG00000062549
zf_xp_gene_3718	aco1	ENSDARG00000026376
zf_xp_gene_3719	acot11-like	ENSDARG00000058229
zf_xp_gene_3720	acot11-like	ENSDARG00000042122
zf_xp_gene_3721	acot12	ENSDARG00000054534
zf_xp_gene_3722	acot13	ENSDARG00000061728
zf_xp_gene_3723	acot8	ENSDARG00000014138
zf_xp_gene_3724	acot9	ENSDARG00000058352
zf_xp_gene_3725	acot9	ENSDARG00000058390
zf_xp_gene_3726	acox1	ENSDARG00000014727
zf_xp_gene_3727	acoxl	ENSDARG00000020149
zf_xp_gene_3728	acp5	ENSDARG00000019763
zf_xp_gene_3729	acp6	ENSDARG00000040064
zf_xp_gene_3730	acsbg1	ENSDARG00000062077
zf_xp_gene_3731	acsbg2	ENSDARG00000004094
zf_xp_gene_3732	acsf2	ENSDARG00000061201
zf_xp_gene_3733	acsf3	ENSDARG00000059503
zf_xp_gene_3734	acsl1	ENSDARG00000030514
zf_xp_gene_3735	acsl1	ENSDARG00000003854
zf_xp_gene_3736	acsl4	ENSDARG00000032079
zf_xp_gene_3737	acsm3	ENSDARG00000004880
zf_xp_gene_3738	acss1	ENSDARG00000044142
zf_xp_gene_3739	acss3	ENSDARG00000032218
zf_xp_gene_3740	acta1	ENSDARG00000055618
zf_xp_gene_3741	acta1	ENSDARG00000036371
zf_xp_gene_3742	actb	ENSDARG00000037746
zf_xp_gene_3743	actb-like.1	ENSDARG00000037746
zf_xp_gene_3744	actc1	ENSDARG00000057911
zf_xp_gene_3745	actg1	ENSDARG00000037746
zf_xp_gene_3746	actl6a	ENSDARG00000070828
zf_xp_gene_3747	actr1a	ENSDARG00000011611
zf_xp_gene_3748	actr2	ENSDARG00000052438
zf_xp_gene_3749	actr2	ENSDARG00000070076
zf_xp_gene_3750	actr3	ENSDARG00000091138
zf_xp_gene_3751	actr6	ENSDARG00000021370
zf_xp_gene_3752	acvr1c	ENSDARG00000086172
zf_xp_gene_3753	acvr2a	ENSDARG00000011188
zf_xp_gene_3754	acvr2a	ENSDARG00000104700
zf_xp_gene_3755	acy3	ENSDARG00000005525
zf_xp_gene_3756	acy3	ENSDARG00000093003
zf_xp_gene_3757	acyp2	ENSDARG00000086271
zf_xp_gene_3758	adad1-like.1	ENSDARG00000089181
zf_xp_gene_3759	adad1-like.2	ENSDARG00000089181
zf_xp_gene_3760	adam11	ENSDARG00000079204
zf_xp_gene_3761	adam12	ENSDARG00000079068
zf_xp_gene_3762	adam17	ENSDARG00000043213
zf_xp_gene_3763	adam17	ENSDARG00000093093
zf_xp_gene_3764	adam19	ENSDARG00000067545
zf_xp_gene_3765	adam23	ENSDARG00000062323
zf_xp_gene_3766	adamts1	ENSDARG00000103519
zf_xp_gene_3767	adamts10-like	ENSDARG00000075188
zf_xp_gene_3768	adamts12	ENSDARG00000067549
zf_xp_gene_3769	adamts14	ENSDARG00000078494
zf_xp_gene_3770	adamts15	ENSDARG00000029124
zf_xp_gene_3771	adamts16	ENSDARG00000074646
zf_xp_gene_3772	adamts17-like	ENSDARG00000075555
zf_xp_gene_3773	adamts18	ENSDARG00000001999
zf_xp_gene_3774	adamts2	ENSDARG00000075930
