mm_zf_gene	zf_gene	mm_gene
mm_zf_gene_3968	ENSDARG00000069106	ENSMUSG00000024939
mm_zf_gene_3969	ENSDARG00000003320	ENSMUSG00000037119
mm_zf_gene_3970	ENSDARG00000004436	ENSMUSG00000028218
mm_zf_gene_3971	ENSDARG00000078391	ENSMUSG00000002017
mm_zf_gene_3972	ENSDARG00000060068	ENSMUSG00000027349
mm_zf_gene_3973	ENSDARG00000062269	ENSMUSG00000033458
mm_zf_gene_3974	ENSDARG00000067596	ENSMUSG00000047757
mm_zf_gene_3975	ENSDARG00000055232	ENSMUSG00000021461
mm_zf_gene_3976	ENSDARG00000053574	ENSMUSG00000034023
mm_zf_gene_3977	ENSDARG00000068870	ENSMUSG00000007570
mm_zf_gene_3978	ENSDARG00000019250	ENSMUSG00000092118
mm_zf_gene_3979	ENSDARG00000024967	ENSMUSG00000028453
mm_zf_gene_3980	ENSDARG00000026224	ENSMUSG00000039187
mm_zf_gene_3981	ENSDARG00000007885	ENSMUSG00000004018
mm_zf_gene_3982	ENSDARG00000039657	ENSMUSG00000053111
mm_zf_gene_3983	ENSDARG00000006899	ENSMUSG00000030759
mm_zf_gene_3984	ENSDARG00000016429	ENSMUSG00000034066
mm_zf_gene_3985	ENSDARG00000091247	ENSMUSG00000021420
mm_zf_gene_3986	ENSDARG00000098825	ENSMUSG00000003808
mm_zf_gene_3987	ENSDARG00000016864	ENSMUSG00000026245
mm_zf_gene_3988	ENSDARG00000043586	ENSMUSG00000030341
mm_zf_gene_3989	ENSDARG00000098913	ENSMUSG00000000817
mm_zf_gene_3990	ENSDARG00000077075	ENSMUSG00000028959
mm_zf_gene_3991	ENSDARG00000056128	ENSMUSG00000027086
mm_zf_gene_3992	ENSDARG00000074031	ENSMUSG00000025962
mm_zf_gene_3993	ENSDARG00000100440	ENSMUSG00000021532
mm_zf_gene_3994	ENSDARG00000017591	ENSMUSG00000070047
mm_zf_gene_3995	ENSDARG00000018923	ENSMUSG00000055333
mm_zf_gene_3996	ENSDARG00000033840	ENSMUSG00000074505
mm_zf_gene_3997	ENSDARG00000099022	ENSMUSG00000038274
mm_zf_gene_3998	ENSDARG00000078981	ENSMUSG00000028246
mm_zf_gene_3999	ENSDARG00000023820	ENSMUSG00000086962
mm_zf_gene_4000	ENSDARG00000053912	ENSMUSG00000051062
mm_zf_gene_4001	ENSDARG00000053912	ENSMUSG00000046865
mm_zf_gene_4002	ENSDARG00000071558	ENSMUSG00000006219
mm_zf_gene_4003	ENSDARG00000103311	ENSMUSG00000006369
mm_zf_gene_4004	ENSDARG00000015156	ENSMUSG00000064080
mm_zf_gene_4005	ENSDARG00000039273	ENSMUSG00000021186
mm_zf_gene_4006	ENSDARG00000089519	ENSMUSG00000027386
mm_zf_gene_4007	ENSDARG00000051896	ENSMUSG00000024598
mm_zf_gene_4008	ENSDARG00000012366	ENSMUSG00000021456
mm_zf_gene_4009	ENSDARG00000074688	ENSMUSG00000042423
mm_zf_gene_4010	ENSDARG00000058232	ENSMUSG00000043323
mm_zf_gene_4011	ENSDARG00000076191	ENSMUSG00000048520
mm_zf_gene_4012	ENSDARG00000034497	ENSMUSG00000030019
mm_zf_gene_4013	ENSDARG00000045801	ENSMUSG00000030019
mm_zf_gene_4014	ENSDARG00000005284	ENSMUSG00000025226
mm_zf_gene_4015	ENSDARG00000060915	ENSMUSG00000025738
mm_zf_gene_4016	ENSDARG00000042072	ENSMUSG00000023965
mm_zf_gene_4017	ENSDARG00000007443	ENSMUSG00000066640
mm_zf_gene_4018	ENSDARG00000012135	ENSMUSG00000032507
mm_zf_gene_4019	ENSDARG00000075567	ENSMUSG00000020883
mm_zf_gene_4020	ENSDARG00000096995	ENSMUSG00000050503
mm_zf_gene_4021	ENSDARG00000103505	ENSMUSG00000022124
mm_zf_gene_4022	ENSDARG00000026941	ENSMUSG00000040410
mm_zf_gene_4023	ENSDARG00000043046	ENSMUSG00000039753
mm_zf_gene_4024	ENSDARG00000062251	ENSMUSG00000043556
mm_zf_gene_4025	ENSDARG00000054222	ENSMUSG00000033313
mm_zf_gene_4026	ENSDARG00000016897	ENSMUSG00000034391
mm_zf_gene_4027	ENSDARG00000033949	ENSMUSG00000034532
mm_zf_gene_4028	ENSDARG00000062983	ENSMUSG00000058594
mm_zf_gene_4029	ENSDARG00000076611	ENSMUSG00000032898
mm_zf_gene_4030	ENSDARG00000053505	ENSMUSG00000032309
mm_zf_gene_4031	ENSDARG00000075172	ENSMUSG00000038365
mm_zf_gene_4032	ENSDARG00000027159	ENSMUSG00000047539
mm_zf_gene_4033	ENSDARG00000029242	ENSMUSG00000027180
mm_zf_gene_4034	ENSDARG00000058561	ENSMUSG00000047648
mm_zf_gene_4035	ENSDARG00000040277	ENSMUSG00000022358
mm_zf_gene_4036	ENSDARG00000075400	ENSMUSG00000035329
mm_zf_gene_4037	ENSDARG00000010662	ENSMUSG00000073633
mm_zf_gene_4038	ENSDARG00000039152	ENSMUSG00000073633
mm_zf_gene_4039	ENSDARG00000006924	ENSMUSG00000042211
mm_zf_gene_4040	ENSDARG00000069775	ENSMUSG00000047746
mm_zf_gene_4041	ENSDARG00000091119	ENSMUSG00000047746
mm_zf_gene_4042	ENSDARG00000078908	ENSMUSG00000047013
mm_zf_gene_4043	ENSDARG00000087545	ENSMUSG00000028920
mm_zf_gene_4044	ENSDARG00000104186	ENSMUSG00000048230
mm_zf_gene_4045	ENSDARG00000022623	ENSMUSG00000029001
mm_zf_gene_4046	ENSDARG00000071492	ENSMUSG00000035764
mm_zf_gene_4047	ENSDARG00000039020	ENSMUSG00000019773
mm_zf_gene_4048	ENSDARG00000099833	ENSMUSG00000001786
mm_zf_gene_4049	ENSDARG00000007477	ENSMUSG00000038206
mm_zf_gene_4050	ENSDARG00000011055	ENSMUSG00000001366
mm_zf_gene_4051	ENSDARG00000104806	ENSMUSG00000020271
mm_zf_gene_4052	ENSDARG00000017230	ENSMUSG00000020271
mm_zf_gene_4053	ENSDARG00000009745	ENSMUSG00000035949
mm_zf_gene_4054	ENSDARG00000033551	ENSMUSG00000040913
mm_zf_gene_4055	ENSDARG00000099139	ENSMUSG00000015095
mm_zf_gene_4056	ENSDARG00000060994	ENSMUSG00000028086
mm_zf_gene_4057	ENSDARG00000079089	ENSMUSG00000032867
mm_zf_gene_4058	ENSDARG00000058020	ENSMUSG00000008167
mm_zf_gene_4059	ENSDARG00000102333	ENSMUSG00000021243
mm_zf_gene_4060	ENSDARG00000015356	ENSMUSG00000070000
mm_zf_gene_4061	ENSDARG00000035389	ENSMUSG00000041685
mm_zf_gene_4062	ENSDARG00000101062	ENSMUSG00000021273
mm_zf_gene_4063	ENSDARG00000040890	ENSMUSG00000059743
mm_zf_gene_4064	ENSDARG00000095750	ENSMUSG00000037845
mm_zf_gene_4065	ENSDARG00000003462	ENSMUSG00000024588
mm_zf_gene_4066	ENSDARG00000102147	ENSMUSG00000033319
mm_zf_gene_4067	ENSDARG00000011404	ENSMUSG00000024742
mm_zf_gene_4068	ENSDARG00000012196	ENSMUSG00000000127
mm_zf_gene_4069	ENSDARG00000019316	ENSMUSG00000037106
mm_zf_gene_4070	ENSDARG00000092160	ENSMUSG00000046518
mm_zf_gene_4071	ENSDARG00000052652	ENSMUSG00000027356
mm_zf_gene_4072	ENSDARG00000020242	ENSMUSG00000037712
mm_zf_gene_4073	ENSDARG00000030938	ENSMUSG00000024965
mm_zf_gene_4074	ENSDARG00000011449	ENSMUSG00000053158
mm_zf_gene_4075	ENSDARG00000053973	ENSMUSG00000022871
mm_zf_gene_4076	ENSDARG00000009242	ENSMUSG00000055197
mm_zf_gene_4077	ENSDARG00000023174	ENSMUSG00000032118
mm_zf_gene_4078	ENSDARG00000010270	ENSMUSG00000029697
mm_zf_gene_4079	ENSDARG00000070677	ENSMUSG00000021743
mm_zf_gene_4080	ENSDARG00000020741	ENSMUSG00000028001
mm_zf_gene_4081	ENSDARG00000008969	ENSMUSG00000033831
mm_zf_gene_4082	ENSDARG00000100402	ENSMUSG00000025265
mm_zf_gene_4083	ENSDARG00000101471	ENSMUSG00000022788
mm_zf_gene_4084	ENSDARG00000045528	ENSMUSG00000020021
mm_zf_gene_4085	ENSDARG00000030932	ENSMUSG00000021732
mm_zf_gene_4086	ENSDARG00000100475	ENSMUSG00000021732
mm_zf_gene_4087	ENSDARG00000069662	ENSMUSG00000042826
mm_zf_gene_4088	ENSDARG00000043907	ENSMUSG00000042826
mm_zf_gene_4089	ENSDARG00000027957	ENSMUSG00000022523
mm_zf_gene_4090	ENSDARG00000113525	ENSMUSG00000022523
mm_zf_gene_4091	ENSDARG00000035056	ENSMUSG00000031137
mm_zf_gene_4092	ENSDARG00000040982	ENSMUSG00000025551
mm_zf_gene_4093	ENSDARG00000042233	ENSMUSG00000031230
mm_zf_gene_4094	ENSDARG00000088048	ENSMUSG00000057967
mm_zf_gene_4095	ENSDARG00000043962	ENSMUSG00000057967
mm_zf_gene_4096	ENSDARG00000098663	ENSMUSG00000031073
mm_zf_gene_4097	ENSDARG00000007356	ENSMUSG00000031603
mm_zf_gene_4098	ENSDARG00000086070	ENSMUSG00000031603
mm_zf_gene_4099	ENSDARG00000076510	ENSMUSG00000020327
mm_zf_gene_4100	ENSDARG00000045854	ENSMUSG00000000182
mm_zf_gene_4101	ENSDARG00000101540	ENSMUSG00000031074
mm_zf_gene_4102	ENSDARG00000105230	ENSMUSG00000050917
mm_zf_gene_4103	ENSDARG00000035377	ENSMUSG00000029337
mm_zf_gene_4104	ENSDARG00000009351	ENSMUSG00000000183
mm_zf_gene_4105	ENSDARG00000045856	ENSMUSG00000000183
mm_zf_gene_4106	ENSDARG00000059387	ENSMUSG00000027208
mm_zf_gene_4107	ENSDARG00000003399	ENSMUSG00000025219
mm_zf_gene_4108	ENSDARG00000039615	ENSMUSG00000025219
mm_zf_gene_4109	ENSDARG00000011027	ENSMUSG00000031565
mm_zf_gene_4110	ENSDARG00000011190	ENSMUSG00000031565
mm_zf_gene_4111	ENSDARG00000003058	ENSMUSG00000069135
mm_zf_gene_4112	ENSDARG00000009657	ENSMUSG00000040242
mm_zf_gene_4113	ENSDARG00000058115	ENSMUSG00000030849
mm_zf_gene_4114	ENSDARG00000004782	ENSMUSG00000054252
mm_zf_gene_4115	ENSDARG00000032617	ENSMUSG00000008090
mm_zf_gene_4116	ENSDARG00000037281	ENSMUSG00000033860
mm_zf_gene_4117	ENSDARG00000038667	ENSMUSG00000028573
mm_zf_gene_4118	ENSDARG00000019861	ENSMUSG00000039899
mm_zf_gene_4119	ENSDARG00000075132	ENSMUSG00000026526
mm_zf_gene_4120	ENSDARG00000056723	ENSMUSG00000051435
mm_zf_gene_4121	ENSDARG00000074812	ENSMUSG00000041842
mm_zf_gene_4122	ENSDARG00000078195	ENSMUSG00000060579
mm_zf_gene_4123	ENSDARG00000071498	ENSMUSG00000023092
mm_zf_gene_4124	ENSDARG00000071498	ENSMUSG00000050035
mm_zf_gene_4125	ENSDARG00000056653	ENSMUSG00000023092
mm_zf_gene_4126	ENSDARG00000056653	ENSMUSG00000050035
mm_zf_gene_4127	ENSDARG00000042018	ENSMUSG00000008136
mm_zf_gene_4128	ENSDARG00000003991	ENSMUSG00000008136
mm_zf_gene_4129	ENSDARG00000034643	ENSMUSG00000032643
mm_zf_gene_4130	ENSDARG00000104315	ENSMUSG00000032643
mm_zf_gene_4131	ENSDARG00000014805	ENSMUSG00000028259
mm_zf_gene_4132	ENSDARG00000051768	ENSMUSG00000014778
mm_zf_gene_4133	ENSDARG00000063682	ENSMUSG00000034295
mm_zf_gene_4134	ENSDARG00000061904	ENSMUSG00000034295
mm_zf_gene_4135	ENSDARG00000060393	ENSMUSG00000026841
mm_zf_gene_4136	ENSDARG00000039949	ENSMUSG00000074971
mm_zf_gene_4137	ENSDARG00000087196	ENSMUSG00000074971
mm_zf_gene_4138	ENSDARG00000016058	ENSMUSG00000024911
mm_zf_gene_4139	ENSDARG00000087666	ENSMUSG00000024911
mm_zf_gene_4140	ENSDARG00000035595	ENSMUSG00000053334
mm_zf_gene_4141	ENSDARG00000087166	ENSMUSG00000030001
mm_zf_gene_4142	ENSDARG00000008662	ENSMUSG00000075324
mm_zf_gene_4143	ENSDARG00000016427	ENSMUSG00000035455
mm_zf_gene_4144	ENSDARG00000079634	ENSMUSG00000034898
mm_zf_gene_4145	ENSDARG00000043328	ENSMUSG00000029227
mm_zf_gene_4146	ENSDARG00000070431	ENSMUSG00000029227
mm_zf_gene_4147	ENSDARG00000034568	ENSMUSG00000048486
mm_zf_gene_4148	ENSDARG00000035873	ENSMUSG00000075012
mm_zf_gene_4149	ENSDARG00000099183	ENSMUSG00000001555
mm_zf_gene_4150	ENSDARG00000045129	ENSMUSG00000001555
mm_zf_gene_4151	ENSDARG00000037000	ENSMUSG00000003355
mm_zf_gene_4152	ENSDARG00000040695	ENSMUSG00000038074
mm_zf_gene_4153	ENSDARG00000052625	ENSMUSG00000020635
mm_zf_gene_4154	ENSDARG00000044540	ENSMUSG00000056629
mm_zf_gene_4155	ENSDARG00000098059	ENSMUSG00000020949
mm_zf_gene_4156	ENSDARG00000008447	ENSMUSG00000030357
mm_zf_gene_4157	ENSDARG00000028396	ENSMUSG00000024222
mm_zf_gene_4158	ENSDARG00000030133	ENSMUSG00000040013
mm_zf_gene_4159	ENSDARG00000010962	ENSMUSG00000002732
mm_zf_gene_4160	ENSDARG00000001734	ENSMUSG00000019428
mm_zf_gene_4161	ENSDARG00000005023	ENSMUSG00000029781
mm_zf_gene_4162	ENSDARG00000100467	ENSMUSG00000048920
mm_zf_gene_4163	ENSDARG00000059437	ENSMUSG00000028414
mm_zf_gene_4164	ENSDARG00000070390	ENSMUSG00000042642
mm_zf_gene_4165	ENSDARG00000062385	ENSMUSG00000032633
mm_zf_gene_4166	ENSDARG00000054632	ENSMUSG00000016087
mm_zf_gene_4167	ENSDARG00000059701	ENSMUSG00000002812
mm_zf_gene_4168	ENSDARG00000045360	ENSMUSG00000025939
mm_zf_gene_4169	ENSDARG00000074201	ENSMUSG00000031328
mm_zf_gene_4170	ENSDARG00000018566	ENSMUSG00000068699
mm_zf_gene_4171	ENSDARG00000018820	ENSMUSG00000068699
mm_zf_gene_4172	ENSDARG00000001710	ENSMUSG00000059714
mm_zf_gene_4173	ENSDARG00000037998	ENSMUSG00000059714
mm_zf_gene_4174	ENSDARG00000004830	ENSMUSG00000061981
mm_zf_gene_4175	ENSDARG00000069774	ENSMUSG00000061981
mm_zf_gene_4176	ENSDARG00000038024	ENSMUSG00000075272
mm_zf_gene_4177	ENSDARG00000038024	ENSMUSG00000075271
mm_zf_gene_4178	ENSDARG00000038024	ENSMUSG00000075273
mm_zf_gene_4179	ENSDARG00000075597	ENSMUSG00000047787
mm_zf_gene_4180	ENSDARG00000076895	ENSMUSG00000051379
mm_zf_gene_4181	ENSDARG00000019371	ENSMUSG00000029648
mm_zf_gene_4182	ENSDARG00000104453	ENSMUSG00000020357
mm_zf_gene_4183	ENSDARG00000031587	ENSMUSG00000066595
mm_zf_gene_4184	ENSDARG00000031506	ENSMUSG00000034258
mm_zf_gene_4185	ENSDARG00000011975	ENSMUSG00000044042
mm_zf_gene_4186	ENSDARG00000012586	ENSMUSG00000036053
mm_zf_gene_4187	ENSDARG00000075041	ENSMUSG00000036053
mm_zf_gene_4188	ENSDARG00000004372	ENSMUSG00000023008
mm_zf_gene_4189	ENSDARG00000016357	ENSMUSG00000026560
mm_zf_gene_4190	ENSDARG00000044895	ENSMUSG00000041559
mm_zf_gene_4191	ENSDARG00000010294	ENSMUSG00000041559
mm_zf_gene_4192	ENSDARG00000037433	ENSMUSG00000000838
mm_zf_gene_4193	ENSDARG00000019815	ENSMUSG00000026193
mm_zf_gene_4194	ENSDARG00000006526	ENSMUSG00000026193
mm_zf_gene_4195	ENSDARG00000098208	ENSMUSG00000039253
mm_zf_gene_4196	ENSDARG00000036156	ENSMUSG00000075415
mm_zf_gene_4197	ENSDARG00000020131	ENSMUSG00000039735
mm_zf_gene_4198	ENSDARG00000051800	ENSMUSG00000008200
mm_zf_gene_4199	ENSDARG00000002847	ENSMUSG00000071984
mm_zf_gene_4200	ENSDARG00000105503	ENSMUSG00000033487
mm_zf_gene_4201	ENSDARG00000078179	ENSMUSG00000039286
mm_zf_gene_4202	ENSDARG00000062023	ENSMUSG00000039286
mm_zf_gene_4203	ENSDARG00000043396	ENSMUSG00000038552
mm_zf_gene_4204	ENSDARG00000069739	ENSMUSG00000001334
mm_zf_gene_4205	ENSDARG00000035895	ENSMUSG00000001334
mm_zf_gene_4206	ENSDARG00000102171	ENSMUSG00000035992
mm_zf_gene_4207	ENSDARG00000099143	ENSMUSG00000015994
mm_zf_gene_4208	ENSDARG00000027916	ENSMUSG00000033373
mm_zf_gene_4209	ENSDARG00000022020	ENSMUSG00000038368
mm_zf_gene_4210	ENSDARG00000071198	ENSMUSG00000022677
mm_zf_gene_4211	ENSDARG00000031683	ENSMUSG00000021250
mm_zf_gene_4212	ENSDARG00000055751	ENSMUSG00000003545
mm_zf_gene_4213	ENSDARG00000015355	ENSMUSG00000024912
mm_zf_gene_4214	ENSDARG00000040623	ENSMUSG00000029135
mm_zf_gene_4215	ENSDARG00000102138	ENSMUSG00000035451
mm_zf_gene_4216	ENSDARG00000003411	ENSMUSG00000037025
mm_zf_gene_4217	ENSDARG00000089042	ENSMUSG00000059246
mm_zf_gene_4218	ENSDARG00000053650	ENSMUSG00000059246
mm_zf_gene_4219	ENSDARG00000037475	ENSMUSG00000056829
mm_zf_gene_4220	ENSDARG00000091481	ENSMUSG00000050295
mm_zf_gene_4221	ENSDARG00000055398	ENSMUSG00000050295
mm_zf_gene_4222	ENSDARG00000029179	ENSMUSG00000055210
mm_zf_gene_4223	ENSDARG00000021032	ENSMUSG00000067261
mm_zf_gene_4224	ENSDARG00000062892	ENSMUSG00000070990
mm_zf_gene_4225	ENSDARG00000015399	ENSMUSG00000042812
mm_zf_gene_4226	ENSDARG00000070769	ENSMUSG00000020950
mm_zf_gene_4227	ENSDARG00000070769	ENSMUSG00000089922
mm_zf_gene_4228	ENSDARG00000055630	ENSMUSG00000033837
mm_zf_gene_4229	ENSDARG00000101919	ENSMUSG00000034227
mm_zf_gene_4230	ENSDARG00000037872	ENSMUSG00000056493
mm_zf_gene_4231	ENSDARG00000030583	ENSMUSG00000039275
mm_zf_gene_4232	ENSDARG00000008133	ENSMUSG00000097084
mm_zf_gene_4233	ENSDARG00000003200	ENSMUSG00000001517
mm_zf_gene_4234	ENSDARG00000011879	ENSMUSG00000002057
mm_zf_gene_4235	ENSDARG00000045105	ENSMUSG00000034998
mm_zf_gene_4236	ENSDARG00000010591	ENSMUSG00000042002
mm_zf_gene_4237	ENSDARG00000099555	ENSMUSG00000044167
mm_zf_gene_4238	ENSDARG00000061549	ENSMUSG00000044167
mm_zf_gene_4239	ENSDARG00000023058	ENSMUSG00000052135
mm_zf_gene_4240	ENSDARG00000042904	ENSMUSG00000052135
mm_zf_gene_4241	ENSDARG00000055792	ENSMUSG00000042903
mm_zf_gene_4242	ENSDARG00000004843	ENSMUSG00000038402
mm_zf_gene_4243	ENSDARG00000004843	ENSMUSG00000047861
mm_zf_gene_4244	ENSDARG00000004843	ENSMUSG00000030067
mm_zf_gene_4245	ENSDARG00000014181	ENSMUSG00000038402
mm_zf_gene_4246	ENSDARG00000014181	ENSMUSG00000047861
mm_zf_gene_4247	ENSDARG00000005453	ENSMUSG00000029563
mm_zf_gene_4248	ENSDARG00000076120	ENSMUSG00000023991
mm_zf_gene_4249	ENSDARG00000030896	ENSMUSG00000038415
mm_zf_gene_4250	ENSDARG00000055395	ENSMUSG00000038415
mm_zf_gene_4251	ENSDARG00000099705	ENSMUSG00000039048
mm_zf_gene_4252	ENSDARG00000061354	ENSMUSG00000016552
mm_zf_gene_4253	ENSDARG00000044809	ENSMUSG00000009566
mm_zf_gene_4254	ENSDARG00000042139	ENSMUSG00000053870
mm_zf_gene_4255	ENSDARG00000102615	ENSMUSG00000054237
mm_zf_gene_4256	ENSDARG00000069473	ENSMUSG00000059049
mm_zf_gene_4257	ENSDARG00000076856	ENSMUSG00000037016
mm_zf_gene_4258	ENSDARG00000102626	ENSMUSG00000037016
mm_zf_gene_4259	ENSDARG00000074677	ENSMUSG00000042353
mm_zf_gene_4260	ENSDARG00000027807	ENSMUSG00000019779
mm_zf_gene_4261	ENSDARG00000059885	ENSMUSG00000049122
mm_zf_gene_4262	ENSDARG00000074599	ENSMUSG00000030064
mm_zf_gene_4263	ENSDARG00000076496	ENSMUSG00000030064
mm_zf_gene_4264	ENSDARG00000079622	ENSMUSG00000027238
mm_zf_gene_4265	ENSDARG00000002332	ENSMUSG00000048285
mm_zf_gene_4266	ENSDARG00000068958	ENSMUSG00000036131
mm_zf_gene_4267	ENSDARG00000073696	ENSMUSG00000024816
mm_zf_gene_4268	ENSDARG00000074119	ENSMUSG00000108841
mm_zf_gene_4269	ENSDARG00000074865	ENSMUSG00000042425
mm_zf_gene_4270	ENSDARG00000103940	ENSMUSG00000045589
mm_zf_gene_4271	ENSDARG00000045873	ENSMUSG00000020170
mm_zf_gene_4272	ENSDARG00000037353	ENSMUSG00000020170
mm_zf_gene_4273	ENSDARG00000040001	ENSMUSG00000070733
mm_zf_gene_4274	ENSDARG00000101437	ENSMUSG00000094595
mm_zf_gene_4275	ENSDARG00000059680	ENSMUSG00000029581
mm_zf_gene_4276	ENSDARG00000037747	ENSMUSG00000029581
mm_zf_gene_4277	ENSDARG00000059574	ENSMUSG00000025380
mm_zf_gene_4278	ENSDARG00000074396	ENSMUSG00000025380
mm_zf_gene_4279	ENSDARG00000062017	ENSMUSG00000011589
mm_zf_gene_4280	ENSDARG00000059432	ENSMUSG00000054752
mm_zf_gene_4281	ENSDARG00000010841	ENSMUSG00000100916
mm_zf_gene_4282	ENSDARG00000071494	ENSMUSG00000032937
mm_zf_gene_4283	ENSDARG00000052846	ENSMUSG00000021765
mm_zf_gene_4284	ENSDARG00000057992	ENSMUSG00000021765
mm_zf_gene_4285	ENSDARG00000015559	ENSMUSG00000022816
mm_zf_gene_4286	ENSDARG00000039576	ENSMUSG00000022816
mm_zf_gene_4287	ENSDARG00000025670	ENSMUSG00000020325
mm_zf_gene_4288	ENSDARG00000044319	ENSMUSG00000036264
mm_zf_gene_4289	ENSDARG00000040198	ENSMUSG00000034098
mm_zf_gene_4290	ENSDARG00000059056	ENSMUSG00000055373
mm_zf_gene_4291	ENSDARG00000109567	ENSMUSG00000055373
mm_zf_gene_4292	ENSDARG00000007421	ENSMUSG00000001155
mm_zf_gene_4293	ENSDARG00000015551	ENSMUSG00000078208
mm_zf_gene_4294	ENSDARG00000015551	ENSMUSG00000071815
mm_zf_gene_4295	ENSDARG00000015551	ENSMUSG00000035491
mm_zf_gene_4296	ENSDARG00000015551	ENSMUSG00000060685
mm_zf_gene_4297	ENSDARG00000015551	ENSMUSG00000024661
mm_zf_gene_4298	ENSDARG00000015551	ENSMUSG00000078206
mm_zf_gene_4299	ENSDARG00000015551	ENSMUSG00000072249
mm_zf_gene_4300	ENSDARG00000007975	ENSMUSG00000078208
mm_zf_gene_4301	ENSDARG00000007975	ENSMUSG00000071815
mm_zf_gene_4302	ENSDARG00000007975	ENSMUSG00000035491
mm_zf_gene_4303	ENSDARG00000007975	ENSMUSG00000060685
mm_zf_gene_4304	ENSDARG00000007975	ENSMUSG00000024661
mm_zf_gene_4305	ENSDARG00000007975	ENSMUSG00000078206
mm_zf_gene_4306	ENSDARG00000007975	ENSMUSG00000072249
mm_zf_gene_4307	ENSDARG00000044216	ENSMUSG00000055932
mm_zf_gene_4308	ENSDARG00000057089	ENSMUSG00000031171
mm_zf_gene_4309	ENSDARG00000029248	ENSMUSG00000028034
mm_zf_gene_4310	ENSDARG00000086896	ENSMUSG00000026843
mm_zf_gene_4311	ENSDARG00000035890	ENSMUSG00000028673
mm_zf_gene_4312	ENSDARG00000035879	ENSMUSG00000028673
mm_zf_gene_4313	ENSDARG00000044073	ENSMUSG00000019810
mm_zf_gene_4314	ENSDARG00000032650	ENSMUSG00000033703
mm_zf_gene_4315	ENSDARG00000040822	ENSMUSG00000025040
mm_zf_gene_4316	ENSDARG00000103740	ENSMUSG00000074619
mm_zf_gene_4317	ENSDARG00000103740	ENSMUSG00000031198
mm_zf_gene_4318	ENSDARG00000039422	ENSMUSG00000025466
mm_zf_gene_4319	ENSDARG00000062909	ENSMUSG00000030530
mm_zf_gene_4320	ENSDARG00000070971	ENSMUSG00000030530
mm_zf_gene_4321	ENSDARG00000037968	ENSMUSG00000030795
mm_zf_gene_4322	ENSDARG00000100322	ENSMUSG00000046152
mm_zf_gene_4323	ENSDARG00000102402	ENSMUSG00000039357
mm_zf_gene_4324	ENSDARG00000015449	ENSMUSG00000021065
mm_zf_gene_4325	ENSDARG00000016460	ENSMUSG00000055373
mm_zf_gene_4326	ENSDARG00000079730	ENSMUSG00000011658
mm_zf_gene_4327	ENSDARG00000074356	ENSMUSG00000059363
mm_zf_gene_4328	ENSDARG00000022968	ENSMUSG00000027680
mm_zf_gene_4329	ENSDARG00000016260	ENSMUSG00000018765
mm_zf_gene_4330	ENSDARG00000100971	ENSMUSG00000066705
mm_zf_gene_4331	ENSDARG00000011370	ENSMUSG00000019843
mm_zf_gene_4332	ENSDARG00000106062	ENSMUSG00000044674
mm_zf_gene_4333	ENSDARG00000068213	ENSMUSG00000081683
mm_zf_gene_4334	ENSDARG00000054438	ENSMUSG00000050288
mm_zf_gene_4335	ENSDARG00000058692	ENSMUSG00000007989
mm_zf_gene_4336	ENSDARG00000025420	ENSMUSG00000045005
mm_zf_gene_4337	ENSDARG00000104874	ENSMUSG00000022297
mm_zf_gene_4338	ENSDARG00000060004	ENSMUSG00000041075
mm_zf_gene_4339	ENSDARG00000027589	ENSMUSG00000041075
mm_zf_gene_4340	ENSDARG00000045444	ENSMUSG00000036904
mm_zf_gene_4341	ENSDARG00000038569	ENSMUSG00000036904
mm_zf_gene_4342	ENSDARG00000014673	ENSMUSG00000049551
mm_zf_gene_4343	ENSDARG00000015254	ENSMUSG00000020235
mm_zf_gene_4344	ENSDARG00000078859	ENSMUSG00000009633
mm_zf_gene_4345	ENSDARG00000001313	ENSMUSG00000035293
mm_zf_gene_4346	ENSDARG00000017741	ENSMUSG00000018583
mm_zf_gene_4347	ENSDARG00000014790	ENSMUSG00000029405
mm_zf_gene_4348	ENSDARG00000020371	ENSMUSG00000034793
mm_zf_gene_4349	ENSDARG00000013721	ENSMUSG00000078650
mm_zf_gene_4350	ENSDARG00000014967	ENSMUSG00000078650
mm_zf_gene_4351	ENSDARG00000071065	ENSMUSG00000089992
mm_zf_gene_4352	ENSDARG00000071065	ENSMUSG00000031400
mm_zf_gene_4353	ENSDARG00000090714	ENSMUSG00000025579
mm_zf_gene_4354	ENSDARG00000037018	ENSMUSG00000031714
mm_zf_gene_4355	ENSDARG00000105120	ENSMUSG00000004508
mm_zf_gene_4356	ENSDARG00000027200	ENSMUSG00000031950
mm_zf_gene_4357	ENSDARG00000018967	ENSMUSG00000024462
mm_zf_gene_4358	ENSDARG00000016667	ENSMUSG00000024462
mm_zf_gene_4359	ENSDARG00000061042	ENSMUSG00000039809
mm_zf_gene_4360	ENSDARG00000069289	ENSMUSG00000008976
mm_zf_gene_4361	ENSDARG00000023659	ENSMUSG00000027361
mm_zf_gene_4362	ENSDARG00000054344	ENSMUSG00000038766
mm_zf_gene_4363	ENSDARG00000068989	ENSMUSG00000010803
mm_zf_gene_4364	ENSDARG00000070730	ENSMUSG00000055078
mm_zf_gene_4365	ENSDARG00000075058	ENSMUSG00000020428
mm_zf_gene_4366	ENSDARG00000058736	ENSMUSG00000020428
