mm_zf_xp_gene	mm_gene	zf_gene	xp_gene
mm_zf_xp_5885	ENSMUSG00000060716	ENSDARG00000053835	NA
mm_zf_xp_5886	ENSMUSG00000021120	ENSDARG00000038348	NA
mm_zf_xp_5887	ENSMUSG00000021125	ENSDARG00000039269	NA
mm_zf_xp_5888	ENSMUSG00000021124	ENSDARG00000039270	vti1b
mm_zf_xp_5889	ENSMUSG00000066441	ENSDARG00000018069	NA
mm_zf_xp_5890	ENSMUSG00000066441	ENSDARG00000018069	NA
mm_zf_xp_5891	ENSMUSG00000066440	ENSDARG00000040131	zfyve26
mm_zf_xp_5892	ENSMUSG00000059060	ENSDARG00000037046	NA
mm_zf_xp_5893	ENSMUSG00000021127	ENSDARG00000016154	zfp36l1
mm_zf_xp_5894	ENSMUSG00000021127	ENSDARG00000021443	zfp36l1
mm_zf_xp_5895	ENSMUSG00000015143	ENSDARG00000007219	NA
mm_zf_xp_5896	ENSMUSG00000049106	ENSDARG00000060320	dcaf5
mm_zf_xp_5897	ENSMUSG00000032705	ENSDARG00000016117	exd2
mm_zf_xp_5898	ENSMUSG00000021130	ENSDARG00000053190	galnt16
mm_zf_xp_5899	ENSMUSG00000063412	ENSDARG00000032866	erh
mm_zf_xp_5900	ENSMUSG00000048833	ENSDARG00000070447	slc39a9
mm_zf_xp_5901	ENSMUSG00000066438	ENSDARG00000091349	plekhd1-like
mm_zf_xp_5902	ENSMUSG00000062961	NA	LOC100498007
mm_zf_xp_5903	ENSMUSG00000062961	NA	ccdc177
mm_zf_xp_5904	ENSMUSG00000021133	ENSDARG00000030116	Xetrov90021710m
mm_zf_xp_5905	ENSMUSG00000021134	ENSDARG00000027734	srsf5
mm_zf_xp_5906	ENSMUSG00000021135	ENSDARG00000030588	LOC100489580-like
mm_zf_xp_5907	ENSMUSG00000021136	ENSDARG00000088255	smoc1
mm_zf_xp_5908	ENSMUSG00000079055	ENSDARG00000004931	slc8a3-like
mm_zf_xp_5909	ENSMUSG00000091803	ENSDARG00000039136	NA
mm_zf_xp_5910	ENSMUSG00000021139	ENSDARG00000028321	NA
mm_zf_xp_5911	ENSMUSG00000090935	ENSDARG00000028321	synj2bp
mm_zf_xp_5912	ENSMUSG00000002679	ENSDARG00000034734	med6
mm_zf_xp_5913	ENSMUSG00000042734	ENSDARG00000074363	ttc9
mm_zf_xp_5914	ENSMUSG00000042724	ENSDARG00000013491	map3k9-like
mm_zf_xp_5915	ENSMUSG00000021140	NA	Xetrov90021642m
mm_zf_xp_5916	ENSMUSG00000042700	ENSDARG00000020134	sipa1l1-like
mm_zf_xp_5917	ENSMUSG00000042700	ENSDARG00000020134	sipa1l1
mm_zf_xp_5918	ENSMUSG00000021219	ENSDARG00000015627	NA
mm_zf_xp_5919	ENSMUSG00000021221	ENSDARG00000025309	NA
mm_zf_xp_5920	ENSMUSG00000021222	NA	dcaf4-like
mm_zf_xp_5921	ENSMUSG00000042628	ENSDARG00000078652	zfyve1
mm_zf_xp_5922	ENSMUSG00000010608	ENSDARG00000039266	rbm25
mm_zf_xp_5923	ENSMUSG00000010608	ENSDARG00000006395	rbm25
mm_zf_xp_5924	ENSMUSG00000019969	ENSDARG00000004870	psen1
mm_zf_xp_5925	ENSMUSG00000021223	ENSDARG00000042186	papln-like
mm_zf_xp_5926	ENSMUSG00000021223	ENSDARG00000027867	papln-like
mm_zf_xp_5927	ENSMUSG00000021224	ENSDARG00000027279	numb
mm_zf_xp_5928	ENSMUSG00000090843	ENSDARG00000090753	heatr4
mm_zf_xp_5929	ENSMUSG00000021226	NA	acot2
mm_zf_xp_5930	ENSMUSG00000021226	NA	LOC100498625-like
mm_zf_xp_5931	ENSMUSG00000042540	NA	acot2
mm_zf_xp_5932	ENSMUSG00000042540	NA	LOC100498625-like
mm_zf_xp_5933	ENSMUSG00000072949	NA	acot2
mm_zf_xp_5934	ENSMUSG00000072949	NA	LOC100498625-like
mm_zf_xp_5935	ENSMUSG00000021228	NA	acot2
mm_zf_xp_5936	ENSMUSG00000021228	NA	LOC100498625-like
mm_zf_xp_5937	ENSMUSG00000054383	NA	LOC101734503
mm_zf_xp_5938	ENSMUSG00000054383	NA	LOC101732340
mm_zf_xp_5939	ENSMUSG00000054383	NA	Xetrov90001167m
mm_zf_xp_5940	ENSMUSG00000054383	NA	LOC101731379
mm_zf_xp_5941	ENSMUSG00000054383	NA	Xetrov90014626m
mm_zf_xp_5942	ENSMUSG00000054383	NA	LOC101730418
mm_zf_xp_5943	ENSMUSG00000054383	NA	LOC101733701
mm_zf_xp_5944	ENSMUSG00000054383	NA	Xetrov90002314m
mm_zf_xp_5945	ENSMUSG00000042507	ENSDARG00000011445	NA
mm_zf_xp_5946	ENSMUSG00000042507	ENSDARG00000053864	NA
mm_zf_xp_5947	ENSMUSG00000072946	ENSDARG00000070673	ptgr2
mm_zf_xp_5948	ENSMUSG00000072946	ENSDARG00000070673	NA
mm_zf_xp_5949	ENSMUSG00000042472	ENSDARG00000008218	znf410
mm_zf_xp_5950	ENSMUSG00000021234	ENSDARG00000089467	fam161b-like
mm_zf_xp_5951	ENSMUSG00000021235	ENSDARG00000060380	coq6
mm_zf_xp_5952	ENSMUSG00000021236	ENSDARG00000093659	entpd5
mm_zf_xp_5953	ENSMUSG00000021236	ENSDARG00000053481	entpd5
mm_zf_xp_5954	ENSMUSG00000057265	ENSDARG00000062924	NA
mm_zf_xp_5955	ENSMUSG00000021238	ENSDARG00000053485	NA
mm_zf_xp_5956	ENSMUSG00000085793	ENSDARG00000070833	NA
mm_zf_xp_5957	ENSMUSG00000021239	ENSDARG00000005574	vsx2
mm_zf_xp_5958	ENSMUSG00000021240	ENSDARG00000061770	abcd4-like
mm_zf_xp_5959	ENSMUSG00000071235	ENSDARG00000061963	NA
mm_zf_xp_5960	ENSMUSG00000071234	ENSDARG00000042390	NA
mm_zf_xp_5961	ENSMUSG00000021242	ENSDARG00000090912	npc2
mm_zf_xp_5962	ENSMUSG00000021241	ENSDARG00000038154	NA
mm_zf_xp_5963	ENSMUSG00000042350	ENSDARG00000100359	arel1
mm_zf_xp_5964	ENSMUSG00000021244	ENSDARG00000043680	NA
mm_zf_xp_5965	ENSMUSG00000004789	ENSDARG00000014230	dlst
mm_zf_xp_5966	ENSMUSG00000019235	ENSDARG00000079024	rps6kl1
mm_zf_xp_5967	ENSMUSG00000004791	ENSDARG00000076767	NA
mm_zf_xp_5968	ENSMUSG00000004788	ENSDARG00000041397	NA
mm_zf_xp_5969	ENSMUSG00000021245	ENSDARG00000056334	LOC101731282
mm_zf_xp_5970	ENSMUSG00000008822	NA	Xetrov90021117m
mm_zf_xp_5971	ENSMUSG00000045064	ENSDARG00000070526	NA
mm_zf_xp_5972	ENSMUSG00000034290	NA	nek9
mm_zf_xp_5973	ENSMUSG00000021248	ENSDARG00000041391	tmed10
mm_zf_xp_5974	ENSMUSG00000021250	ENSDARG00000031683	fos
mm_zf_xp_5975	ENSMUSG00000034271	ENSDARG00000020133	NA
mm_zf_xp_5976	ENSMUSG00000034271	ENSDARG00000040137	NA
mm_zf_xp_5977	ENSMUSG00000034266	ENSDARG00000011818	batf-like
mm_zf_xp_5978	ENSMUSG00000034258	ENSDARG00000038957	flvcr2
mm_zf_xp_5979	ENSMUSG00000034258	ENSDARG00000031506	flvcr2
mm_zf_xp_5980	ENSMUSG00000007867	NA	ift43
mm_zf_xp_5981	ENSMUSG00000021253	ENSDARG00000019367	NA
mm_zf_xp_5982	ENSMUSG00000021255	ENSDARG00000100847	NA
mm_zf_xp_5983	ENSMUSG00000021256	ENSDARG00000092716	vash1
mm_zf_xp_5984	ENSMUSG00000021257	ENSDARG00000077567	Xetrov90021457m
mm_zf_xp_5985	ENSMUSG00000021257	ENSDARG00000077567	angel1
mm_zf_xp_5986	ENSMUSG00000059114	ENSDARG00000060062	LOC100490780
mm_zf_xp_5987	ENSMUSG00000059114	ENSDARG00000060062	Xetrov90021139m
mm_zf_xp_5988	ENSMUSG00000059114	ENSDARG00000060062	LOC100488775-like
mm_zf_xp_5989	ENSMUSG00000034168	ENSDARG00000004297	NA
mm_zf_xp_5990	ENSMUSG00000034157	ENSDARG00000075397	LOC100485719-like
mm_zf_xp_5991	ENSMUSG00000034157	ENSDARG00000075397	cipc
mm_zf_xp_5992	ENSMUSG00000034157	ENSDARG00000078095	LOC100485719-like
mm_zf_xp_5993	ENSMUSG00000034157	ENSDARG00000078095	cipc
mm_zf_xp_5994	ENSMUSG00000034145	ENSDARG00000004158	tmem63c
mm_zf_xp_5995	ENSMUSG00000048483	ENSDARG00000075170	zdhhc22
mm_zf_xp_5996	ENSMUSG00000021032	ENSDARG00000053475	ngb
mm_zf_xp_5997	ENSMUSG00000034126	ENSDARG00000055027	pomt2-like
mm_zf_xp_5998	ENSMUSG00000021033	ENSDARG00000027984	NA
mm_zf_xp_5999	ENSMUSG00000034111	ENSDARG00000052390	LOC100145041
mm_zf_xp_6000	ENSMUSG00000090812	NA	samd15
mm_zf_xp_6001	ENSMUSG00000072919	ENSDARG00000027538	noxred1
mm_zf_xp_6002	ENSMUSG00000021038	ENSDARG00000103690	vipas39
mm_zf_xp_6003	ENSMUSG00000021037	ENSDARG00000028664	NA
mm_zf_xp_6004	ENSMUSG00000021037	ENSDARG00000100317	NA
mm_zf_xp_6005	ENSMUSG00000021036	ENSDARG00000074287	sptlc2
mm_zf_xp_6006	ENSMUSG00000021036	ENSDARG00000018976	sptlc2
mm_zf_xp_6007	ENSMUSG00000079036	ENSDARG00000071164	alkbh1
mm_zf_xp_6008	ENSMUSG00000021040	ENSDARG00000097753	slirp
mm_zf_xp_6009	ENSMUSG00000021039	ENSDARG00000091563	NA
mm_zf_xp_6010	ENSMUSG00000021044	ENSDARG00000062561	adck1
mm_zf_xp_6011	ENSMUSG00000066392	ENSDARG00000043746	Xetrov90021162m
mm_zf_xp_6012	ENSMUSG00000066392	ENSDARG00000043746	nrxn3
mm_zf_xp_6013	ENSMUSG00000066392	ENSDARG00000043746	Xetrov90021165m
mm_zf_xp_6014	ENSMUSG00000066392	ENSDARG00000043746	Xetrov90021163m
mm_zf_xp_6015	ENSMUSG00000007682	ENSDARG00000094857	dio2
mm_zf_xp_6016	ENSMUSG00000020963	ENSDARG00000037195	Xetrov90021168m
mm_zf_xp_6017	ENSMUSG00000020962	ENSDARG00000011000	NA
mm_zf_xp_6018	ENSMUSG00000020961	NA	Xetrov90021170m
mm_zf_xp_6019	ENSMUSG00000020964	ENSDARG00000004581	sel1l-like
mm_zf_xp_6020	ENSMUSG00000047414	NA	flrt2
mm_zf_xp_6021	ENSMUSG00000021003	ENSDARG00000037064	galc
mm_zf_xp_6022	ENSMUSG00000021003	ENSDARG00000016474	galc
mm_zf_xp_6023	ENSMUSG00000021886	ENSDARG00000045957	gpr65
mm_zf_xp_6024	ENSMUSG00000033854	ENSDARG00000045956	NA
mm_zf_xp_6025	ENSMUSG00000033854	ENSDARG00000062849	NA
mm_zf_xp_6026	ENSMUSG00000021007	ENSDARG00000075898	Xetrov90013073m
mm_zf_xp_6027	ENSMUSG00000021007	ENSDARG00000075898	LOC100493599-like
mm_zf_xp_6028	ENSMUSG00000021007	ENSDARG00000075898	spata7
mm_zf_xp_6029	ENSMUSG00000021009	ENSDARG00000062248	ptpn21
mm_zf_xp_6030	ENSMUSG00000021012	ENSDARG00000041402	zc3h14-like
mm_zf_xp_6031	ENSMUSG00000051166	ENSDARG00000053517	eml5-like
mm_zf_xp_6032	ENSMUSG00000021013	ENSDARG00000099481	ttc8
mm_zf_xp_6033	ENSMUSG00000033713	ENSDARG00000043553	foxn3
mm_zf_xp_6034	ENSMUSG00000021176	ENSDARG00000043740	efcab11
mm_zf_xp_6035	ENSMUSG00000021177	ENSDARG00000073866	tdp1
mm_zf_xp_6036	ENSMUSG00000045404	ENSDARG00000008212	kcnk13
mm_zf_xp_6037	ENSMUSG00000045404	ENSDARG00000043557	kcnk13
mm_zf_xp_6038	ENSMUSG00000021178	ENSDARG00000030537	psmc1
mm_zf_xp_6039	ENSMUSG00000021178	ENSDARG00000043561	psmc1
mm_zf_xp_6040	ENSMUSG00000021179	ENSDARG00000074726	nrde2
mm_zf_xp_6041	ENSMUSG00000001175	NA	LOC100496298-like
mm_zf_xp_6042	ENSMUSG00000001175	NA	Xetrov90021202m
mm_zf_xp_6043	ENSMUSG00000033530	ENSDARG00000061207	ttc7b
mm_zf_xp_6044	ENSMUSG00000021180	ENSDARG00000060551	rps6ka5
mm_zf_xp_6045	ENSMUSG00000047415	NA	LOC101733637
mm_zf_xp_6046	ENSMUSG00000047415	NA	gpr68
mm_zf_xp_6047	ENSMUSG00000021182	ENSDARG00000053713	LOC100485260-like
mm_zf_xp_6048	ENSMUSG00000021182	ENSDARG00000053713	ccdc88c
mm_zf_xp_6049	ENSMUSG00000041846	ENSDARG00000042187	NA
mm_zf_xp_6050	ENSMUSG00000021187	ENSDARG00000095067	tc2n
mm_zf_xp_6051	ENSMUSG00000021186	ENSDARG00000039273	fbln5
mm_zf_xp_6052	ENSMUSG00000021188	ENSDARG00000078381	trip11
mm_zf_xp_6053	ENSMUSG00000021189	ENSDARG00000099274	NA
mm_zf_xp_6054	ENSMUSG00000041781	ENSDARG00000028971	cpsf2
mm_zf_xp_6055	ENSMUSG00000041771	ENSDARG00000015425	slc24a4
mm_zf_xp_6056	ENSMUSG00000041771	ENSDARG00000067509	slc24a4
mm_zf_xp_6057	ENSMUSG00000044456	ENSDARG00000077618	rin3
mm_zf_xp_6058	ENSMUSG00000044456	ENSDARG00000077618	LOC100487948
mm_zf_xp_6059	ENSMUSG00000021190	ENSDARG00000039150	lgmn
mm_zf_xp_6060	ENSMUSG00000021192	ENSDARG00000039279	NA
mm_zf_xp_6061	ENSMUSG00000057963	ENSDARG00000013056	itpk1
mm_zf_xp_6062	ENSMUSG00000057963	ENSDARG00000070583	itpk1
mm_zf_xp_6063	ENSMUSG00000096458	NA	moap1
mm_zf_xp_6064	ENSMUSG00000096458	NA	Xetrov90002918m
mm_zf_xp_6065	ENSMUSG00000096458	NA	Xetrov90026943m
mm_zf_xp_6066	ENSMUSG00000096458	NA	Xetrov90020804m
mm_zf_xp_6067	ENSMUSG00000096458	NA	Xetrov90022077m
mm_zf_xp_6068	ENSMUSG00000096458	NA	Xetrov90010887m
mm_zf_xp_6069	ENSMUSG00000096458	NA	Xetrov90007588m
mm_zf_xp_6070	ENSMUSG00000096458	NA	Xetrov90025987m
mm_zf_xp_6071	ENSMUSG00000096458	NA	Xetrov90018181m
mm_zf_xp_6072	ENSMUSG00000096458	NA	Xetrov90019908m
mm_zf_xp_6073	ENSMUSG00000096458	NA	Xetrov90008080m
mm_zf_xp_6074	ENSMUSG00000096458	NA	Xetrov90002084m
mm_zf_xp_6075	ENSMUSG00000096458	NA	Xetrov90002150m
mm_zf_xp_6076	ENSMUSG00000096458	NA	Xetrov90003193m
mm_zf_xp_6077	ENSMUSG00000096458	NA	Xetrov90018136m
mm_zf_xp_6078	ENSMUSG00000096458	NA	Xetrov90026452m
mm_zf_xp_6079	ENSMUSG00000096458	NA	Xetrov90006869m
mm_zf_xp_6080	ENSMUSG00000096458	NA	Xetrov90023765m
mm_zf_xp_6081	ENSMUSG00000096458	NA	Xetrov90018731m
mm_zf_xp_6082	ENSMUSG00000096458	NA	LOC101735194
mm_zf_xp_6083	ENSMUSG00000096458	NA	Xetrov90026218m
mm_zf_xp_6084	ENSMUSG00000096458	NA	Xetrov90020467m
mm_zf_xp_6085	ENSMUSG00000096458	NA	Xetrov90007943m
mm_zf_xp_6086	ENSMUSG00000096458	NA	Xetrov90015187m
mm_zf_xp_6087	ENSMUSG00000096458	NA	Xetrov90009521m
mm_zf_xp_6088	ENSMUSG00000096458	NA	Xetrov90010618m
mm_zf_xp_6089	ENSMUSG00000096458	NA	Xetrov90000076m
mm_zf_xp_6090	ENSMUSG00000096458	NA	Xetrov90019145m
mm_zf_xp_6091	ENSMUSG00000096458	NA	Xetrov90025941m
mm_zf_xp_6092	ENSMUSG00000096458	NA	Xetrov90029438m
mm_zf_xp_6093	ENSMUSG00000096458	NA	Xetrov90001808m
mm_zf_xp_6094	ENSMUSG00000096458	NA	Xetrov90008295m
mm_zf_xp_6095	ENSMUSG00000096458	NA	Xetrov90002789m
mm_zf_xp_6096	ENSMUSG00000096458	NA	Xetrov90000670m
mm_zf_xp_6097	ENSMUSG00000096458	NA	Xetrov90030588m
mm_zf_xp_6098	ENSMUSG00000096458	NA	Xetrov90016020m
mm_zf_xp_6099	ENSMUSG00000096458	NA	Xetrov90026221m
mm_zf_xp_6100	ENSMUSG00000096458	NA	Xetrov90006785m
mm_zf_xp_6101	ENSMUSG00000096458	NA	Xetrov90018131m
mm_zf_xp_6102	ENSMUSG00000096458	NA	Xetrov90030920m
mm_zf_xp_6103	ENSMUSG00000096458	NA	Xetrov90018878m
mm_zf_xp_6104	ENSMUSG00000096458	NA	Xetrov90017304m
mm_zf_xp_6105	ENSMUSG00000096458	NA	Xetrov90015163m
mm_zf_xp_6106	ENSMUSG00000096458	NA	Xetrov90010192m
mm_zf_xp_6107	ENSMUSG00000096458	NA	Xetrov90018010m
mm_zf_xp_6108	ENSMUSG00000096458	NA	Xetrov90019132m
mm_zf_xp_6109	ENSMUSG00000096458	NA	Xetrov90011968m
mm_zf_xp_6110	ENSMUSG00000096458	NA	Xetrov90007467m
mm_zf_xp_6111	ENSMUSG00000096458	NA	Xetrov90002054m
mm_zf_xp_6112	ENSMUSG00000096458	NA	Xetrov90009224m
mm_zf_xp_6113	ENSMUSG00000096458	NA	Xetrov90004459m
mm_zf_xp_6114	ENSMUSG00000096458	NA	Xetrov90029617m
mm_zf_xp_6115	ENSMUSG00000096458	NA	LOC101731077
mm_zf_xp_6116	ENSMUSG00000096458	NA	Xetrov90000469m
mm_zf_xp_6117	ENSMUSG00000096458	NA	Xetrov90005614m
mm_zf_xp_6118	ENSMUSG00000096458	NA	Xetrov90029159m
mm_zf_xp_6119	ENSMUSG00000096458	NA	Xetrov90016201m
mm_zf_xp_6120	ENSMUSG00000096458	NA	Xetrov90019123m
mm_zf_xp_6121	ENSMUSG00000096458	NA	Xetrov90001286m
mm_zf_xp_6122	ENSMUSG00000046675	ENSDARG00000042341	tmem251
mm_zf_xp_6123	ENSMUSG00000041712	ENSDARG00000099534	NA
mm_zf_xp_6124	ENSMUSG00000041712	ENSDARG00000005536	NA
mm_zf_xp_6125	ENSMUSG00000091931	NA	Xetrov90021232m
mm_zf_xp_6126	ENSMUSG00000041716	NA	Xetrov90021232m
mm_zf_xp_6127	ENSMUSG00000098530	NA	Xetrov90021232m
mm_zf_xp_6128	ENSMUSG00000041712	ENSDARG00000099534	NA
mm_zf_xp_6129	ENSMUSG00000041712	ENSDARG00000005536	NA
mm_zf_xp_6130	ENSMUSG00000041702	ENSDARG00000003069	btbd7
mm_zf_xp_6131	ENSMUSG00000021198	NA	unc79
mm_zf_xp_6132	ENSMUSG00000025488	ENSDARG00000095273	NA
mm_zf_xp_6133	ENSMUSG00000041669	ENSDARG00000077377	prima1-like
mm_zf_xp_6134	ENSMUSG00000021200	ENSDARG00000102490	asb2-like
mm_zf_xp_6135	ENSMUSG00000021203	NA	otub2
mm_zf_xp_6136	ENSMUSG00000041645	ENSDARG00000104708	NA
mm_zf_xp_6137	ENSMUSG00000021209	ENSDARG00000010407	ppp4r4
mm_zf_xp_6138	ENSMUSG00000061947	ENSDARG00000005924	serpina10
mm_zf_xp_6139	ENSMUSG00000060807	NA	LOC100488044
mm_zf_xp_6140	ENSMUSG00000021095	ENSDARG00000059073	gsc
mm_zf_xp_6141	ENSMUSG00000041415	ENSDARG00000001129	dicer1
mm_zf_xp_6142	ENSMUSG00000021097	ENSDARG00000096867	clmn-like
mm_zf_xp_6143	ENSMUSG00000021097	ENSDARG00000043667	clmn-like
mm_zf_xp_6144	ENSMUSG00000054150	ENSDARG00000023237	syne3-like
mm_zf_xp_6145	ENSMUSG00000021102	ENSDARG00000043665	NA
mm_zf_xp_6146	ENSMUSG00000021070	ENSDARG00000043664	bdkrb2
mm_zf_xp_6147	ENSMUSG00000041347	ENSDARG00000020744	NA
mm_zf_xp_6148	ENSMUSG00000041341	ENSDARG00000097650	atg2b
mm_zf_xp_6149	ENSMUSG00000044715	ENSDARG00000038099	gskip
mm_zf_xp_6150	ENSMUSG00000041323	ENSDARG00000019001	NA
mm_zf_xp_6151	ENSMUSG00000041323	ENSDARG00000017023	NA
mm_zf_xp_6152	ENSMUSG00000021111	ENSDARG00000009585	NA
mm_zf_xp_6153	ENSMUSG00000021115	ENSDARG00000018006	Xetrov90028792m
mm_zf_xp_6154	ENSMUSG00000021115	ENSDARG00000018006	vrk1
mm_zf_xp_6155	ENSMUSG00000048251	ENSDARG00000062510	NA
mm_zf_xp_6156	ENSMUSG00000056770	ENSDARG00000016513	setd3
mm_zf_xp_6157	ENSMUSG00000021258	NA	ccnk
mm_zf_xp_6158	ENSMUSG00000084883	ENSDARG00000079555	ccdc85c
mm_zf_xp_6159	ENSMUSG00000084883	ENSDARG00000005232	ccdc85c
mm_zf_xp_6160	ENSMUSG00000021260	NA	Xetrov90020943m
mm_zf_xp_6161	ENSMUSG00000021260	NA	hhipl1
mm_zf_xp_6162	ENSMUSG00000021260	NA	LOC100488066
mm_zf_xp_6163	ENSMUSG00000021259	ENSDARG00000012137	NA
mm_zf_xp_6164	ENSMUSG00000021259	ENSDARG00000089177	NA
mm_zf_xp_6165	ENSMUSG00000021259	ENSDARG00000004262	NA
mm_zf_xp_6166	ENSMUSG00000021259	ENSDARG00000113820	NA
mm_zf_xp_6167	ENSMUSG00000058070	ENSDARG00000042840	eml1
mm_zf_xp_6168	ENSMUSG00000058070	ENSDARG00000042840	LOC100495318-like
mm_zf_xp_6169	ENSMUSG00000021262	ENSDARG00000099720	evl
mm_zf_xp_6170	ENSMUSG00000021262	ENSDARG00000035650	evl
mm_zf_xp_6171	ENSMUSG00000021263	ENSDARG00000042544	NA
mm_zf_xp_6172	ENSMUSG00000021264	ENSDARG00000042796	NA
mm_zf_xp_6173	ENSMUSG00000021264	ENSDARG00000027978	NA
mm_zf_xp_6174	ENSMUSG00000021265	ENSDARG00000057352	slc25a29
mm_zf_xp_6175	ENSMUSG00000048856	ENSDARG00000059923	slc25a47-like
mm_zf_xp_6176	ENSMUSG00000048856	ENSDARG00000102071	slc25a47-like
mm_zf_xp_6177	ENSMUSG00000021266	ENSDARG00000100954	NA
mm_zf_xp_6178	ENSMUSG00000040877	NA	Xetrov90021383m
mm_zf_xp_6179	ENSMUSG00000040877	NA	wdr25
mm_zf_xp_6180	ENSMUSG00000040867	NA	begain
mm_zf_xp_6181	ENSMUSG00000040856	NA	dlk1-like
mm_zf_xp_6182	ENSMUSG00000075707	NA	dio3
mm_zf_xp_6183	ENSMUSG00000017843	ENSDARG00000031200	ppp2r5c
mm_zf_xp_6184	ENSMUSG00000018707	ENSDARG00000014717	dync1h1
mm_zf_xp_6185	ENSMUSG00000021270	ENSDARG00000024746	NA
mm_zf_xp_6186	ENSMUSG00000037957	NA	wdr20
mm_zf_xp_6187	ENSMUSG00000035560	NA	wdr20
mm_zf_xp_6188	ENSMUSG00000056458	NA	mok
mm_zf_xp_6189	ENSMUSG00000021271	ENSDARG00000076988	Xetrov90021399m
mm_zf_xp_6190	ENSMUSG00000021276	ENSDARG00000073910	cinp
mm_zf_xp_6191	ENSMUSG00000021275	ENSDARG00000060835	tecpr2-like
mm_zf_xp_6192	ENSMUSG00000037904	ENSDARG00000028804	ankrd9
mm_zf_xp_6193	ENSMUSG00000037896	ENSDARG00000031434	NA
mm_zf_xp_6194	ENSMUSG00000021277	NA	traf3
mm_zf_xp_6195	ENSMUSG00000021278	ENSDARG00000062947	amn
mm_zf_xp_6196	ENSMUSG00000021279	ENSDARG00000019383	cdc42bpb
mm_zf_xp_6197	ENSMUSG00000021280	ENSDARG00000058180	exoc3l4
mm_zf_xp_6198	ENSMUSG00000021281	ENSDARG00000043416	tnfaip2
mm_zf_xp_6199	ENSMUSG00000021281	ENSDARG00000058160	tnfaip2
mm_zf_xp_6200	ENSMUSG00000021282	ENSDARG00000003681	eif5
mm_zf_xp_6201	ENSMUSG00000007411	ENSDARG00000019345	NA
mm_zf_xp_6202	ENSMUSG00000007411	ENSDARG00000026630	NA
mm_zf_xp_6203	ENSMUSG00000001270	ENSDARG00000043257	ckb
mm_zf_xp_6204	ENSMUSG00000001270	ENSDARG00000069752	ckb
mm_zf_xp_6205	ENSMUSG00000060950	ENSDARG00000008480	NA
mm_zf_xp_6206	ENSMUSG00000049792	ENSDARG00000017316	bag5
mm_zf_xp_6207	ENSMUSG00000021288	ENSDARG00000009796	NA
mm_zf_xp_6208	ENSMUSG00000021287	ENSDARG00000017928	xrcc3
mm_zf_xp_6209	ENSMUSG00000021286	ENSDARG00000027887	NA
mm_zf_xp_6210	ENSMUSG00000021285	ENSDARG00000009142	NA
mm_zf_xp_6211	ENSMUSG00000021285	ENSDARG00000004377	NA
mm_zf_xp_6212	ENSMUSG00000054003	ENSDARG00000013453	tdrd9
mm_zf_xp_6213	ENSMUSG00000091402	NA	rd3l-like
mm_zf_xp_6214	ENSMUSG00000021294	ENSDARG00000024575	kif26a-like
mm_zf_xp_6215	ENSMUSG00000054013	NA	tmem179
mm_zf_xp_6216	ENSMUSG00000037679	ENSDARG00000117069	Xetrov90026888m
mm_zf_xp_6217	ENSMUSG00000037679	ENSDARG00000117069	inf2
mm_zf_xp_6218	ENSMUSG00000011148	ENSDARG00000099517	NA
mm_zf_xp_6219	ENSMUSG00000064326	ENSDARG00000114552	NA
mm_zf_xp_6220	ENSMUSG00000001729	NA	akt1
mm_zf_xp_6221	ENSMUSG00000037638	ENSDARG00000078018	NA
mm_zf_xp_6222	ENSMUSG00000072825	ENSDARG00000074636	Xetrov90021454m
mm_zf_xp_6223	ENSMUSG00000072825	ENSDARG00000074636	LOC101735050
mm_zf_xp_6224	ENSMUSG00000072812	NA	Xetrov90017350m
mm_zf_xp_6225	ENSMUSG00000037594	ENSDARG00000071347	c14orf79
mm_zf_xp_6226	ENSMUSG00000037594	ENSDARG00000069249	c14orf79
mm_zf_xp_6227	ENSMUSG00000047832	ENSDARG00000042319	cdca4
mm_zf_xp_6228	ENSMUSG00000002799	ENSDARG00000030289	jag2
mm_zf_xp_6229	ENSMUSG00000002799	ENSDARG00000021389	jag2
mm_zf_xp_6230	ENSMUSG00000002799	ENSDARG00000013168	jag2
mm_zf_xp_6231	ENSMUSG00000002799	ENSDARG00000070425	jag2
mm_zf_xp_6232	ENSMUSG00000002804	ENSDARG00000062335	NA
mm_zf_xp_6233	ENSMUSG00000011158	ENSDARG00000005002	brf1
mm_zf_xp_6234	ENSMUSG00000002803	ENSDARG00000032369	btbd6
mm_zf_xp_6235	ENSMUSG00000021143	ENSDARG00000078185	NA
mm_zf_xp_6236	ENSMUSG00000021144	ENSDARG00000007198	mta1
mm_zf_xp_6237	ENSMUSG00000006356	ENSDARG00000070670	crip2
mm_zf_xp_6238	ENSMUSG00000006356	ENSDARG00000033201	crip2
mm_zf_xp_6239	ENSMUSG00000049036	NA	tmem121
mm_zf_xp_6240	ENSMUSG00000047037	ENSDARG00000055917	nipa1
mm_zf_xp_6241	ENSMUSG00000030452	ENSDARG00000055912	NA
mm_zf_xp_6242	ENSMUSG00000030447	ENSDARG00000044345	cyfip1
mm_zf_xp_6243	ENSMUSG00000033790	ENSDARG00000077442	tubgcp5
mm_zf_xp_6244	ENSMUSG00000075425	ENSDARG00000063197	NA
mm_zf_xp_6245	ENSMUSG00000070527	ENSDARG00000041665	NA
mm_zf_xp_6246	ENSMUSG00000056972	ENSDARG00000058212	Xetrov90029021m
